Pr,m,Ra_c,omega_c,crossing_found,sigma_min,status
0.1,1,1658.94,-842.416,True,4.77602e-09,ok
0.1,2,1154.4500077460686,-1232.8000017213485,True,5.86458e-06,ok
0.1,3,943.4860197334738,-1507.6600085797713,True,1.97165e-05,ok
0.1,4,832.7568859956006,-1736.6199687550186,True,0.000147542,ok
0.1,5,770.7669660701382,-1933.48,True,5.54375e-05,ok
0.1,6,735.7381190503229,-2106.170034020204,True,0.000212176,ok
0.1,7,717.2448823936147,-2260.4999632480044,True,0.000236615,ok
0.1,8,709.3489886433745,-2399.69,True,2.57188e-05,ok
0.1,9,708.639170936298,-2524.19,True,0.000447101,ok
0.1,10,713.7278707388562,-2633.0800101600425,True,0.000325597,ok
0.1,11,724.457041499081,-2726.0999917551494,True,0.000105093,ok
0.1,12,740.9744490230876,-2804.2898633803993,True,0.00113659,ok
0.1,13,763.2745526429514,-2869.460155865848,True,0.000234675,ok
0.1,14,791.1330580193255,-2923.669976221588,True,0.000143679,ok
0.1,15,824.1238573415661,-2968.7900559979,True,0.000352739,ok
0.1,16,861.6841840224754,-3006.339914408151,True,0.000451601,ok
0.1,17,903.1731677409541,-3037.2603538454946,True,0.00204729,ok
0.1,18,948.0048399000611,-3061.780071529367,True,0.000395418,ok
0.1,19,995.799417040509,-3079.46,True,0.000286325,ok
0.1,20,1046.4999125182896,-3089.5200492263616,True,0.000213946,ok
0.1,21,1100.3699528907425,-3091.250030458798,True,0.000112305,ok
0.1,22,1157.810019543743,-3084.3599857863687,True,4.52827e-05,ok
0.1,23,1219.239964489676,-3068.960026742772,True,7.98311e-05,ok
0.1,24,1285.0199980540046,-3045.39296859404,True,0.946251,ok
0.1,25,1355.4300349188306,-3014.1499705684146,True,7.2323e-05,ok
0.1,30,1783.1700002805262,-2752.489999730547,True,4.88027e-07,ok
0.1,35,2354.1700021925485,-2300.1499974871917,True,3.1794e-06,ok
0.1,40,3111.18,-1532.57,True,6.6135e-09,ok
0.1,45,4096.47,191.57,True,1.15866e-11,ok
0.1,50,4567.82,1215.38,True,3.09096e-11,ok
0.1,55,5058.54,1290.04,True,2.51884e-10,ok
0.1,60,5709.44,1267.53,True,1.42837e-11,ok
0.1,65,6541.74,1220.29,True,2.42176e-12,ok
0.1,70,7579.82,1165.89,True,7.81091e-12,ok
0.1,75,8851.02,1110.59,True,2.27334e-12,ok
0.1,80,10384.8,1057.02,True,7.2682e-13,ok
0.1,85,12211.999177565733,1006.320004767077,True,0.000798383,ok
0.1,90,14371.302714425921,958.9256114561814,True,395.392,ok
0.1,95,16877.3,914.89,True,1.9965e-12,ok
0.1,100,19784.1,874.1,True,4.97031e-13,ok
0.1,105,23121.6,836.355,True,5.4604e-12,ok
0.1,110,26927.8,801.423,True,7.24214e-12,ok
0.1,115,31242.0,769.061,True,4.87355e-12,ok
0.1,120,36105.3,739.04,True,7.22447e-12,ok
0.3,1,989.347,-431.238,True,7.07285e-09,ok
0.3,2,704.4919946732151,-658.8009975263934,True,4.34705e-06,ok
0.3,3,579.4609462922475,-828.8989731461238,True,6.16935e-05,ok
0.3,4,509.50200515940435,-967.6770028784046,True,8.26841e-06,ok
0.3,5,465.7550276662466,-1085.9800148743261,True,5.40554e-05,ok
0.3,6,436.9500341279496,-1189.4100176714303,True,7.76469e-05,ok
0.3,7,417.6739906956724,-1281.1999957569321,True,2.38456e-05,ok
0.3,8,404.9920133654327,-1363.4300050541553,True,3.73983e-05,ok
0.3,9,397.1739968174706,-1437.4799990847168,True,9.77641e-06,ok
0.3,10,393.1400003979438,-1504.35000008746,True,1.26426e-06,ok
0.3,11,392.1809998333872,-1564.7499999839263,True,5.63156e-07,ok
0.3,12,393.8139999450398,-1619.2300000003238,True,1.91568e-07,ok
0.3,13,397.6969999049355,-1668.1700000105275,True,3.38577e-07,ok
0.3,14,403.58600020127847,-1711.8299999589226,True,7.29243e-07,ok
0.3,15,411.31,-1750.36,True,6.28427e-09,ok
0.3,16,420.75399999044384,-1783.8400000042454,True,3.5977e-08,ok
0.3,17,431.84900000350785,-1812.2699999980402,True,1.31576e-08,ok
0.3,18,444.5587941769801,-1835.650137912837,True,0.000773679,ok
0.3,19,458.86500620601583,-1853.97076894523,True,0.00375081,ok
0.3,20,474.7670448822343,-1867.1899602605217,True,0.000167477,ok
0.3,21,492.26003539044206,-1875.2899653960121,True,0.000130686,ok
0.3,22,511.3509030801012,-1878.1801043707803,True,0.000358483,ok
0.3,23,532.0469656818443,-1875.7600402279888,True,0.000125812,ok
0.3,24,554.3659999702378,-1867.87000003777,True,1.07543e-07,ok
0.3,25,578.3340039150913,-1854.289994865454,True,1.38503e-05,ok
0.3,30,724.2829975470955,-1691.8700045209314,True,8.0873e-06,ok
0.3,35,916.6789999887482,-1337.8600000267897,True,3.45654e-08,ok
0.3,40,1147.68,-724.972,True,1.19666e-11,ok
0.3,45,1354.8158584593448,44.686258704836966,True,25.1556,ok
0.3,50,1510.3799999718308,514.2729999411418,True,1.82322e-07,ok
0.3,55,1683.95,722.926,True,2.37984e-12,ok
0.3,60,1904.14,815.794,True,2.4533e-12,ok
0.3,65,2182.64,851.739,True,4.71927e-13,ok
0.3,70,2528.96,857.207,True,0.0,ok
0.3,75,2952.7,845.779,True,1.39604e-12,ok
0.3,80,3463.83,825.071,True,3.98554e-12,ok
0.3,85,4072.74,799.547,True,6.93104e-13,ok
0.3,90,4790.23,771.868,True,3.48811e-12,ok
0.3,95,5627.53,743.619,True,5.99531e-13,ok
0.3,100,6596.29,715.729,True,5.88726e-12,ok
0.3,105,7708.66,688.724,True,3.49711e-12,ok
0.3,110,8977.26,662.886,True,2.95379e-12,ok
0.3,115,10415.2,638.343,True,2.03225e-12,ok
0.3,120,12036.2,615.135,True,5.16918e-12,ok
0.5,1,732.35,-296.508,True,2.69543e-09,ok
0.5,2,546.4549956990614,-468.2689971327076,True,3.56774e-06,ok
0.5,3,457.1879652539429,-596.9669711156251,True,3.9391e-05,ok
0.5,4,404.7999981848679,-701.793,True,2.09458e-06,ok
0.5,5,370.92497468458566,-790.817974883647,True,5.00127e-05,ok
0.5,6,347.88799471464745,-868.2519946345063,True,1.25871e-05,ok
0.5,7,331.87100892607765,-936.5970088216791,True,2.40509e-05,ok
0.5,8,320.7449923429966,-997.47,True,9.95892e-07,ok
0.5,9,313.22899890164416,-1051.969999025116,True,3.70866e-06,ok
0.5,10,308.507999938481,-1100.87,True,1.33868e-07,ok
0.5,11,306.03600000936063,-1144.7300000063399,True,3.49252e-08,ok
0.5,12,305.44199990359954,-1183.9499999450668,True,3.81565e-07,ok
0.5,13,306.46099996735074,-1218.8299999855817,True,1.32864e-07,ok
0.5,14,308.9029999942938,-1249.5799999982025,True,2.40762e-08,ok
0.5,15,312.632,-1276.33,True,4.20341e-09,ok
0.5,16,317.546,-1299.16,True,3.39318e-09,ok
0.5,17,323.5730685152858,-1318.109995339096,True,0.000303038,ok
0.5,18,330.6618962204864,-1333.17,True,0.000208901,ok
0.5,19,338.77682795107904,-1344.3100657241719,True,0.000783224,ok
0.5,20,347.8960042669301,-1351.4499978180472,True,1.93846e-05,ok
0.5,21,358.00499635689107,-1354.5200024217718,True,1.66876e-05,ok
0.5,22,369.0959989108088,-1353.400000870277,True,5.0208e-06,ok
0.5,23,381.1630010031971,-1347.9799990260221,True,4.55705e-06,ok
0.5,24,394.2029998816212,-1338.1000001277116,True,5.39814e-07,ok
0.5,25,408.2160000980926,-1323.609999877384,True,4.40418e-07,ok
0.5,30,492.70999999774034,-1174.5400000042573,True,1.00499e-08,ok
0.5,35,598.968,-877.123,True,2.09365e-11,ok
0.5,40,713.755,-428.873,True,2.5765e-11,ok
0.5,45,812.165,28.0287,True,9.39249e-12,ok
0.5,50,902.593,329.627,True,9.14148e-12,ok
0.5,55,1008.81,503.966,True,2.20294e-12,ok
0.5,60,1142.43,602.376,True,2.83255e-12,ok
0.5,65,1310.36,654.664,True,1.76576e-12,ok
0.5,70,1518.56,678.03,True,1.19624e-12,ok
0.5,75,1772.97,683.086,True,0.0,ok
0.5,80,2079.69,676.681,True,1.68794e-12,ok
0.5,85,2445.01,663.307,True,4.38861e-12,ok
0.5,90,2875.44,645.903,True,3.52809e-12,ok
0.5,95,3377.74,626.378,True,3.31801e-12,ok
0.5,100,3958.92,605.952,True,2.14972e-12,ok
0.5,105,4626.26,585.398,True,1.33757e-12,ok
0.5,110,5387.35,565.189,True,4.29457e-12,ok
0.5,115,6250.06,545.609,True,2.45294e-12,ok
0.5,120,7222.59,526.813,True,2.70811e-12,ok
0.7,1,581.4189999158552,-226.09199996811358,True,1.66209e-08,ok
0.7,2,449.28698630305166,-364.9389899375417,True,7.59695e-06,ok
0.7,3,381.6580372605844,-469.56903675248554,True,3.58267e-05,ok
0.7,4,340.52897029604776,-554.6399632879545,True,4.22121e-05,ok
0.7,5,313.2649066283013,-626.5678764904554,True,0.000168402,ok
0.7,6,294.32302040395916,-688.7760285132249,True,4.47047e-05,ok
0.7,7,280.858987185143,-743.3279809801761,True,3.3468e-05,ok
0.7,8,271.25200380886156,-791.570005497859,True,1.10715e-05,ok
0.7,9,264.50900055336615,-834.424000782132,True,1.78122e-06,ok
0.7,10,259.9860002073989,-872.5420002828167,True,7.28705e-07,ok
0.7,11,257.25000016340056,-906.39700021046,True,6.17345e-07,ok
0.7,12,255.99600003053052,-936.3310000360029,True,1.21205e-07,ok
0.7,13,256.0100000036329,-962.5940000035954,True,1.46896e-08,ok
0.7,14,257.13199999322137,-985.3649999935087,True,2.9568e-08,ok
0.7,15,259.246,-1004.76,True,3.59666e-09,ok
0.7,16,262.2640059401712,-1020.87,True,2.50554e-05,ok
0.7,17,266.1210045073296,-1033.710002575617,True,2.12188e-05,ok
0.7,18,270.7660013367047,-1043.3100003765364,True,6.37526e-06,ok
0.7,19,276.16308962550045,-1049.6200202162781,True,0.000437517,ok
0.7,20,282.2830034230208,-1052.62,True,1.68139e-05,ok
0.7,21,289.1050001733577,-1052.219999988595,True,8.62312e-07,ok
0.7,22,296.6110002449285,-1048.369999927536,True,1.21935e-06,ok
0.7,23,304.7880015240334,-1040.9499993573354,True,7.64565e-06,ok
0.7,24,313.6210000677232,-1029.8599999585367,True,3.39215e-07,ok
0.7,25,323.099000011381,-1014.9799999915067,True,5.74288e-08,ok
0.7,30,379.521,-879.222,True,2.70714e-10,ok
0.7,35,447.69,-632.693,True,3.90605e-12,ok
