Ek_folder,Ek,Pr_folder,Pr,Ra_folder,Ra,fd,fd_stderr,m_star,drift_path
Ek1.3e-3,0.0013,Pr0.07,0.07,Ra981_9700,981.97,-2.306330926244643,9.893571367130309e-06,2,/pfs/lustrep1/scratch/project_465001528/scalisim/THE/fs_RTC/Ek1.3e-3/Pr0.07/Ra981_9700/movie/movie_test/drift.json
Ek1.3e-3,0.0013,Pr0.07,0.07,Ra1129_2655,1129.2655,-0.8893903089524655,6.482998883995583e-15,2,/pfs/lustrep1/scratch/project_465001528/scalisim/THE/fs_RTC/Ek1.3e-3/Pr0.07/Ra1129_2655/movie/movie_test/drift.json
Ek1.3e-3,0.0013,Pr0.07,0.07,Ra1276_5610,1276.561,-1.185952673685564,0.006032910949499655,2,/pfs/lustrep1/scratch/project_465001528/scalisim/THE/fs_RTC/Ek1.3e-3/Pr0.07/Ra1276_5610/movie/movie_test/drift.json
Ek1.3e-3,0.0013,Pr0.07,0.07,Ra1423_8565,1423.8565,-3.0602111250041095,0.034561531442448445,1,/pfs/lustrep1/scratch/project_465001528/scalisim/THE/fs_RTC/Ek1.3e-3/Pr0.07/Ra1423_8565/movie/movie_test/drift.json
Ek1.3e-3,0.0013,Pr0.1,0.1,Ra704_1130,704.113,-2.0705256306829276,8.389349967720804e-06,2,/pfs/lustrep1/scratch/project_465001528/scalisim/THE/fs_RTC/Ek1.3e-3/Pr0.1/Ra704_1130/movie/movie_test/drift.json
Ek1.3e-3,0.0013,Pr0.1,0.1,Ra809_7300,809.73,-0.9697556730698167,5.432396905235434e-15,2,/pfs/lustrep1/scratch/project_465001528/scalisim/THE/fs_RTC/Ek1.3e-3/Pr0.1/Ra809_7300/movie/movie_test/drift.json
Ek1.3e-3,0.0013,Pr0.1,0.1,Ra911_3911,911.3911,-0.0026356631124970203,6.040959006069463e-09,2,/pfs/lustrep1/scratch/project_465001528/scalisim/THE/fs_RTC/Ek1.3e-3/Pr0.1/Ra911_3911/movie/movie_test/drift.json
Ek1.3e-3,0.0013,Pr0.1,0.1,Ra911_6333,911.6333,-0.0005776939852595529,1.127700974743173e-08,2,/pfs/lustrep1/scratch/project_465001528/scalisim/THE/fs_RTC/Ek1.3e-3/Pr0.1/Ra911_6333/movie/movie_test/drift.json
Ek1.3e-3,0.0013,Pr0.1,0.1,Ra911_6848,911.6848,-0.0001403141488981537,8.02858129113411e-09,2,/pfs/lustrep1/scratch/project_465001528/scalisim/THE/fs_RTC/Ek1.3e-3/Pr0.1/Ra911_6848/movie/movie_test/drift.json
Ek1.3e-3,0.0013,Pr0.1,0.1,Ra911_6972,911.6972,-3.5010840116028806e-05,8.921899698567445e-09,2,/pfs/lustrep1/scratch/project_465001528/scalisim/THE/fs_RTC/Ek1.3e-3/Pr0.1/Ra911_6972/movie/movie_test/drift.json
