Ek_folder,Ek,Pr,m_star,Ra0,Ra_c,Ra0_over_Rac,supercriticality,method,bracket_lo,bracket_hi
Ek1.3e-3,0.0013,0.1,2,911.6972,704.113,1.2948165990402107,0.2948165990402107,near_fd,,
Ek1.3e-3,0.0013,0.3,2,351.8244,258.932,1.3587521047997158,0.35875210479971575,near_fd,,
Ek1.3e-3,0.0013,0.4,2,270.27087584243145,199.191,1.356842808372022,0.3568428083720221,sign_interp,270.2184,270.2973
Ek1.3e-3,0.0013,0.5,2,219.4533,162.208,1.3529129266127442,0.3529129266127442,near_fd,,
Ek1.3e-3,0.0013,0.6,2,184.73525339026298,136.944,1.3489839159821753,0.3489839159821752,sign_interp,184.729,184.7477
Ek1.3e-3,0.0013,0.7,2,159.5143,118.547,1.3455785469054466,0.34557854690544676,near_fd,,
Ek1.3e-3,0.0013,0.8,2,140.36847819852062,104.535,1.3427892877841932,0.3427892877841931,sign_interp,140.3646,140.3763
Ek1.3e-3,0.0013,1.0,2,113.21074383033734,84.581,1.3384890676432926,0.3384890676432926,sign_interp,113.2045,113.2233
Ek1.3e-3,0.0013,2.0,2,57.5937,43.3305,1.329172292034479,0.3291722920344791,near_fd,,
Ek1.3e-3,0.0013,3.0,2,38.64669551959394,29.1353,1.3264560694275995,0.32645606942759947,sign_interp,38.6465,38.6469
Ek1.3e-3,0.0013,4.0,2,29.074,21.9469,1.3247429021866415,0.3247429021866415,near_fd,,
Ek1.3e-3,0.0013,5.0,2,23.3063,17.6039,1.32392822045115,0.3239282204511501,near_fd,,
Ek1.3e-3,0.0013,6.0,2,19.4378,14.6959,1.3226682271926182,0.3226682271926183,near_fd,,
Ek1.3e-3,0.0013,8.0,2,14.6296,11.0465,1.3243651835422985,0.3243651835422985,near_fd,,
Ek1.3e-3,0.0013,10.0,2,11.7564,8.84904,1.328550893656261,0.3285508936562609,near_fd,,
Ek1.3e-3,0.0013,20.0,2,5.6619,4.43645,1.2762231063124796,0.27622310631247965,near_fd,,
