Pr,m,Ra_c,omega_c,crossing_found,sigma_min,status
0.01,1,623.589,0.0,True,0.0,ok
0.01,2,4310.397765769548,609.7046356127267,True,0.000489731,ok
0.01,3,5350.399434667968,480.0100124564685,True,1.74466e-05,ok
0.01,4,6544.490990864134,390.2949782195388,True,2.89395e-05,ok
0.01,5,8163.920023052014,315.11499942486955,True,6.3527e-07,ok
0.01,6,10095.100342178392,240.85998973464825,True,1.01421e-05,ok
0.01,7,11835.599998061387,173.77400006143716,True,8.96298e-08,ok
0.01,8,13311.6,134.513,True,1.36772e-10,ok
0.01,9,15056.3,113.607,True,6.85118e-12,ok
0.01,10,17279.5,100.329,True,3.84158e-13,ok
0.01,11,20052.4,90.7015,True,0.0,ok
0.01,12,23426.0,83.1565,True,4.79825e-14,ok
0.01,13,27451.6,76.9607,True,2.87691e-13,ok
0.01,14,32184.4,71.7184,True,1.69529e-13,ok
0.01,15,37683.9,67.1919,True,6.10885e-13,ok
0.03,1,1908.240652305371,-345.08296974815676,True,3.99917e-05,ok
0.03,2,1676.27,-67.9063,True,7.67931e-13,ok
0.03,3,2019.49,-59.9546,True,9.35333e-14,ok
0.03,4,2391.269949608039,355.8360035762037,True,3.78445e-06,ok
0.03,5,2899.4199497709437,287.24500408111084,True,3.64334e-06,ok
0.03,6,3506.5901240294847,214.80198694042485,True,1.13836e-05,ok
0.03,7,4000.49999959887,155.45500003553934,True,6.17706e-08,ok
0.03,8,4451.5,124.542,True,1.05166e-10,ok
0.03,9,5023.37,107.46,True,1.64262e-12,ok
0.03,10,5761.74,96.0089,True,2.55843e-13,ok
0.03,11,6685.1,87.3887,True,3.84184e-13,ok
0.03,12,7809.23,80.465,True,3.14487e-13,ok
0.03,13,9150.92,74.6849,True,2.9028e-14,ok
0.03,14,10728.4,69.7385,True,2.78413e-13,ok
0.03,15,12561.5,65.4332,True,6.23887e-13,ok
0.05,1,1186.4,-48.2743,True,1.8596e-13,ok
0.05,2,1033.27,-63.425,True,1.18632e-13,ok
0.05,3,1236.91,-55.9499,True,1.95493e-13,ok
0.05,4,1595.000000248776,320.47899995024477,True,4.14282e-08,ok
0.05,5,1869.199998924231,257.38700021515376,True,1.19704e-07,ok
0.05,6,2189.5300206728257,187.4249957506177,True,4.09093e-06,ok
0.05,7,2425.59,139.158,True,4.92733e-09,ok
0.05,8,2677.77,115.792,True,1.11875e-11,ok
0.05,9,3016.61,101.921,True,5.22585e-13,ok
0.05,10,3458.31,92.0408,True,2.35132e-13,ok
0.05,11,4011.81,84.3084,True,1.35633e-13,ok
0.05,12,4686.05,77.942,True,1.58075e-13,ok
0.05,13,5490.93,72.5397,True,4.56407e-14,ok
0.05,14,6437.35,67.8651,True,4.79373e-14,ok
0.05,15,7537.15,63.7642,True,3.66764e-13,ok
0.07,1,810.33,0.0,True,0.0,ok
0.07,2,757.995,-59.3797,True,2.63012e-13,ok
0.07,3,901.078,-52.3134,True,1.23432e-13,ok
0.07,4,1175.37,-25.1298,True,3.68085e-13,ok
0.07,5,1440.77,224.19,True,3.62501e-09,ok
0.07,6,1616.8800005602382,159.52499981658875,True,1.81894e-07,ok
0.07,7,1745.19,125.098,True,6.65826e-10,ok
