Ek_folder,Ek,Pr_folder,Pr,Ra_folder,Ra,fd,fd_stderr,m_star,drift_path
Ek3.7e-4,0.00037,Pr0.1,0.1,Ra397_1815,397.1815,-9.105783915932449,2.865934397169267e-06,3,/pfs/lustrep1/scratch/project_465001528/scalisim/THE/fs_RTC/Ek3.7e-4/Pr0.1/Ra397_1815/movie/movie_test/drift.json
Ek3.7e-4,0.00037,Pr0.1,0.1,Ra519_0887,519.0887,-6.769816834278635,3.838132136986553e-11,3,/pfs/lustrep1/scratch/project_465001528/scalisim/THE/fs_RTC/Ek3.7e-4/Pr0.1/Ra519_0887/movie/movie_test/drift.json
Ek3.7e-4,0.00037,Pr0.1,0.1,Ra640_9959,640.9959,-4.531688654098247,5.018576807957446e-14,3,/pfs/lustrep1/scratch/project_465001528/scalisim/THE/fs_RTC/Ek3.7e-4/Pr0.1/Ra640_9959/movie/movie_test/drift.json
Ek3.7e-4,0.00037,Pr0.1,0.1,Ra762_9030,762.903,-2.5341586886728233,2.4845783758207015e-14,3,/pfs/lustrep1/scratch/project_465001528/scalisim/THE/fs_RTC/Ek3.7e-4/Pr0.1/Ra762_9030/movie/movie_test/drift.json
Ek3.7e-4,0.00037,Pr0.1,0.1,Ra884_8102,884.8102,-0.8638433514494293,4.9244479907060076e-12,3,/pfs/lustrep1/scratch/project_465001528/scalisim/THE/fs_RTC/Ek3.7e-4/Pr0.1/Ra884_8102/movie/movie_test/drift.json
Ek3.7e-4,0.00037,Pr0.2,0.2,Ra256_1623,256.1623,-6.639629302168287,7.981068882912536e-06,3,/pfs/lustrep1/scratch/project_465001528/scalisim/THE/fs_RTC/Ek3.7e-4/Pr0.2/Ra256_1623/movie/movie_test/drift.json
Ek3.7e-4,0.00037,Pr0.2,0.2,Ra334_7864,334.7864,-4.932157501072439,1.230248164993169e-10,3,/pfs/lustrep1/scratch/project_465001528/scalisim/THE/fs_RTC/Ek3.7e-4/Pr0.2/Ra334_7864/movie/movie_test/drift.json
Ek3.7e-4,0.00037,Pr0.2,0.2,Ra413_4104,413.4104,-3.496075307115364,1.2766184728659598e-12,3,/pfs/lustrep1/scratch/project_465001528/scalisim/THE/fs_RTC/Ek3.7e-4/Pr0.2/Ra413_4104/movie/movie_test/drift.json
Ek3.7e-4,0.00037,Pr0.2,0.2,Ra492_0344,492.0344,-2.331759883249533,1.1375976003050552e-13,3,/pfs/lustrep1/scratch/project_465001528/scalisim/THE/fs_RTC/Ek3.7e-4/Pr0.2/Ra492_0344/movie/movie_test/drift.json
Ek3.7e-4,0.00037,Pr0.2,0.2,Ra570_6585,570.6585,-1.39960667097555,8.896496493290568e-14,3,/pfs/lustrep1/scratch/project_465001528/scalisim/THE/fs_RTC/Ek3.7e-4/Pr0.2/Ra570_6585/movie/movie_test/drift.json
Ek3.7e-4,0.00037,Pr0.3,0.3,Ra196_7298,196.7298,-5.264727912485683,4.225085428125047e-06,3,/pfs/lustrep1/scratch/project_465001528/scalisim/THE/fs_RTC/Ek3.7e-4/Pr0.3/Ra196_7298/movie/movie_test/drift.json
Ek3.7e-4,0.00037,Pr0.3,0.3,Ra257_1122,257.1122,-4.045032679454371,1.898806414303527e-10,3,/pfs/lustrep1/scratch/project_465001528/scalisim/THE/fs_RTC/Ek3.7e-4/Pr0.3/Ra257_1122/movie/movie_test/drift.json
Ek3.7e-4,0.00037,Pr0.3,0.3,Ra317_4946,317.4946,-2.841579550297097,7.807614503670377e-10,3,/pfs/lustrep1/scratch/project_465001528/scalisim/THE/fs_RTC/Ek3.7e-4/Pr0.3/Ra317_4946/movie/movie_test/drift.json
Ek3.7e-4,0.00037,Pr0.3,0.3,Ra377_8771,377.8771,-1.773103754749442,1.702503177023271e-10,3,/pfs/lustrep1/scratch/project_465001528/scalisim/THE/fs_RTC/Ek3.7e-4/Pr0.3/Ra377_8771/movie/movie_test/drift.json
Ek3.7e-4,0.00037,Pr0.3,0.3,Ra438_2595,438.2595,-0.8656788916901853,2.7058946718677545e-08,3,/pfs/lustrep1/scratch/project_465001528/scalisim/THE/fs_RTC/Ek3.7e-4/Pr0.3/Ra438_2595/movie/movie_test/drift.json
Ek3.7e-4,0.00037,Pr0.4,0.4,Ra162_8160,162.816,-4.33944078590622,2.5115664063583857e-06,3,/pfs/lustrep1/scratch/project_465001528/scalisim/THE/fs_RTC/Ek3.7e-4/Pr0.4/Ra162_8160/movie/movie_test/drift.json
Ek3.7e-4,0.00037,Pr0.4,0.4,Ra212_7893,212.7893,-3.415288909078507,4.743233679177812e-09,3,/pfs/lustrep1/scratch/project_465001528/scalisim/THE/fs_RTC/Ek3.7e-4/Pr0.4/Ra212_7893/movie/movie_test/drift.json
Ek3.7e-4,0.00037,Pr0.4,0.4,Ra262_7625,262.7625,-2.380549316179182,1.0610769210557068e-09,3,/pfs/lustrep1/scratch/project_465001528/scalisim/THE/fs_RTC/Ek3.7e-4/Pr0.4/Ra262_7625/movie/movie_test/drift.json
Ek3.7e-4,0.00037,Pr0.4,0.4,Ra312_7357,312.7357,-1.3872906286308324,7.944007114499602e-10,3,/pfs/lustrep1/scratch/project_465001528/scalisim/THE/fs_RTC/Ek3.7e-4/Pr0.4/Ra312_7357/movie/movie_test/drift.json
Ek3.7e-4,0.00037,Pr0.4,0.4,Ra362_7090,362.709,-0.49929167566273247,2.9861516449193135e-05,3,/pfs/lustrep1/scratch/project_465001528/scalisim/THE/fs_RTC/Ek3.7e-4/Pr0.4/Ra362_7090/movie/movie_test/drift.json
