Pr,m,Ra_c,omega_c,crossing_found,sigma_min,status
0.01,1,5154.352090990414,272.8809889947873,True,2.16095e-05,ok
0.01,2,7103.579859328091,194.13700121471564,True,1.73824e-06,ok
0.01,3,9134.19,135.899,True,2.14982e-09,ok
0.01,4,11079.199999536979,90.50490000472283,True,1.04194e-08,ok
0.01,5,13005.1,66.7798,True,1.95723e-12,ok
0.01,6,15697.7,54.5325,True,1.23809e-13,ok
0.01,7,19385.8,46.7719,True,6.07184e-14,ok
0.01,8,24180.9,41.1972,True,1.23656e-13,ok
0.01,9,30200.8,36.9069,True,1.03968e-13,ok
0.01,10,37579.5,33.4662,True,1.01029e-13,ok
0.01,11,46464.8,30.6306,True,2.34371e-13,ok
0.01,12,57016.0,28.247,True,5.53651e-14,ok
0.01,13,69402.8,26.2126,True,4.76771e-15,ok
0.01,14,83803.9,24.4544,True,1.95031e-13,ok
0.01,15,100407.0,22.9192,True,3.57202e-13,ok
0.03,1,2205.047306932169,253.9780462474476,True,6.05401e-05,ok
0.03,2,2606.479781626979,177.066,True,1.62768e-06,ok
0.03,3,3177.889941980723,123.45000234077771,True,2.58343e-06,ok
0.03,4,3731.03,83.125,True,2.07321e-09,ok
0.03,5,4342.53,63.1148,True,2.00604e-11,ok
0.03,6,5234.75,52.3083,True,1.89859e-14,ok
0.03,7,6462.86,45.1986,True,1.41756e-13,ok
0.03,8,8060.79,39.977,True,1.33074e-13,ok
0.03,9,10067.3,35.9047,True,1.11816e-13,ok
0.03,10,12526.7,32.6114,True,8.85544e-14,ok
0.03,11,15488.4,29.8821,True,1.42508e-13,ok
0.03,12,19005.5,27.5791,True,1.00278e-13,ok
0.03,13,23134.4,25.6081,True,4.73236e-13,ok
0.03,14,27934.7,23.9014,True,4.75682e-14,ok
0.03,15,33469.1,22.4087,True,2.64812e-13,ok
0.05,1,1911.391733363384,233.27295386011136,True,3.92444e-05,ok
0.05,2,1747.0193989670618,158.33503496918914,True,3.14904e-05,ok
0.05,3,1989.9201276705787,110.87099042470659,True,9.9771e-06,ok
0.05,4,2257.93,76.5237,True,2.48584e-09,ok
0.05,5,2609.82,59.8083,True,5.89491e-12,ok
0.05,6,3142.37,50.256,True,2.62879e-14,ok
0.05,7,3878.47,43.7274,True,1.59213e-13,ok
0.05,8,4836.94,38.827,True,5.75336e-14,ok
0.05,9,6040.68,34.9555,True,3.39143e-14,ok
0.05,10,7516.28,31.7991,True,1.75412e-14,ok
0.05,11,9293.25,29.1693,True,1.88926e-13,ok
0.05,12,11403.4,26.942,True,1.09801e-12,ok
0.05,13,13880.7,25.0309,True,2.13028e-13,ok
0.05,14,16760.9,23.3727,True,1.78159e-13,ok
0.05,15,20081.6,21.9205,True,1.53374e-13,ok
0.07,1,1505.1199855522088,-88.85060069349397,True,5.89357e-07,ok
0.07,2,1386.3799566875407,138.6120039959237,True,3.39364e-06,ok
0.07,3,1476.339996469315,98.54480038703127,True,4.42669e-07,ok
0.07,4,1624.07,70.6879,True,8.20352e-10,ok
0.07,5,1867.07,56.8174,True,4.48005e-13,ok
0.07,6,2245.74,48.3572,True,5.67911e-14,ok
0.07,7,2770.99,42.3487,True,0.0,ok
0.07,8,3455.38,37.7413,True,7.41286e-14,ok
0.07,9,4315.07,34.0552,True,1.36807e-13,ok
0.07,10,5369.0,31.0263,True,3.3398e-15,ok
0.07,11,6638.22,28.4897,True,2.30913e-13,ok
0.07,12,8145.45,26.3337,True,1.5398e-13,ok
0.07,13,9914.93,24.4791,True,4.57375e-14,ok
