Pr,m,Ra_c,omega_c,crossing_found,sigma_min,status
0.1,1,1345.191311191453,-642.2653845999104,True,0.207164,ok
0.1,2,908.262999946976,-925.0369999923098,True,3.73862e-08,ok
0.1,3,752.8619996181071,-1143.7599999537827,True,3.96953e-07,ok
0.1,4,676.7990013008608,-1316.7000001061929,True,1.69502e-06,ok
0.1,5,636.570997339867,-1458.5299999225651,True,4.0051e-06,ok
0.1,6,617.6900099042028,-1577.33,True,1.60685e-05,ok
0.1,7,613.6889977003393,-1678.3000001102362,True,4.01596e-06,ok
0.1,8,620.9159935211626,-1765.540000268943,True,1.1669e-05,ok
0.1,9,636.7019956471227,-1842.340000212322,True,8.21783e-06,ok
0.1,10,658.6600018110689,-1910.8,True,3.56368e-06,ok
0.1,11,684.7690429567272,-1971.0899928405454,True,8.94489e-05,ok
0.1,12,714.0430067018332,-2021.4499981523768,True,1.42608e-05,ok
0.1,13,746.8059931393902,-2059.97000257354,True,1.47177e-05,ok
0.1,14,783.9769913050304,-2086.1300041122804,True,1.82073e-05,ok
0.1,15,826.3360162280891,-2100.7099911275,True,3.22745e-05,ok
0.1,16,874.3129694677376,-2105.050017621743,True,5.93596e-05,ok
0.1,17,928.068004149672,-2100.4699975172903,True,7.64567e-06,ok
0.1,18,987.6079981817952,-2088.1100011262242,True,3.27512e-06,ok
0.1,19,1052.8699979982664,-2068.7600012713656,True,3.47891e-06,ok
0.1,20,1123.799999087283,-2042.930000595267,True,1.53224e-06,ok
0.1,21,1200.3800001667064,-2010.8299998833056,True,2.69162e-07,ok
0.1,22,1282.6600002639796,-1972.4299998096894,True,4.0845e-07,ok
0.1,23,1370.8099998958237,-1927.4400000755647,True,1.57692e-07,ok
0.1,24,1465.109966163538,-1875.4400256231363,True,4.93564e-05,ok
0.1,26,1673.8500684304552,-1747.7899411498086,True,9.10058e-05,ok
0.1,28,1913.2100289331727,-1582.7799721796416,True,3.57058e-05,ok
0.1,30,2188.579999253588,-1369.8000007582364,True,8.34956e-07,ok
0.1,32,2506.249999978283,-1089.6200000263732,True,2.18882e-08,ok
0.1,34,2873.24,-699.601,True,1.32663e-11,ok
0.1,36,3287.58,-79.3102,True,2.21396e-11,ok
0.1,38,3578.19,638.097,True,4.28208e-11,ok
1.0,1,,,False,6.97039,no_onset_in_range
1.0,2,276.83699986906896,-205.85599990560783,True,5.76479e-08,ok
1.0,3,240.50699998090104,-266.2119999804185,True,1.48314e-08,ok
1.0,4,218.07399965765913,-314.59999955925474,True,3.89825e-07,ok
1.0,5,203.2260001877542,-354.6950002569268,True,2.76003e-07,ok
1.0,6,193.08199994205984,-388.51699991040175,True,1.07271e-07,ok
1.0,7,186.120000005182,-417.29700000811846,True,1.12475e-08,ok
1.0,8,181.4560000052757,-441.83800000830445,True,1.29661e-08,ok
1.0,9,178.5379999962828,-462.6799999938271,True,1.0403e-08,ok
1.0,10,177.006,-480.194,True,3.15753e-10,ok
1.0,12,177.18898953586603,-506.1839853468424,True,3.63995e-05,ok
1.0,13,178.61100019634713,-514.9470002399798,True,7.25785e-07,ok
