Pr,m,Ra_c,omega_c,crossing_found,sigma_min,status
0.01,1,400.0,0.0,True,0.0,ok
0.01,2,885.781,0.0,True,0.0,ok
0.01,3,3298.139999602875,-235.98600000779896,True,2.07856e-08,ok
0.01,4,4040.9299974057117,-225.5180000560424,True,1.2447e-07,ok
0.01,5,5045.54,-204.943,True,2.6556e-09,ok
0.01,6,6347.95,-175.306,True,7.56496e-11,ok
0.01,7,7590.331989602484,679.7579267554279,True,9.44913e-05,ok
0.01,8,9077.458831044874,585.9460459789016,True,5.02574e-05,ok
0.01,9,10829.400025813415,489.34899879264145,True,1.08497e-06,ok
0.01,10,12681.500106783229,386.1899933797434,True,5.7518e-06,ok
0.01,11,14257.600008553822,293.84299946293214,True,6.86448e-07,ok
0.01,12,15562.0,237.441,True,1.88756e-09,ok
0.01,13,16968.9,205.73,True,5.38181e-11,ok
0.01,14,18643.2,185.239,True,7.44052e-13,ok
0.01,15,20640.8,170.296,True,9.30706e-13,ok
0.03,1,532.4,0.0,True,0.0,ok
0.03,2,1017.15,0.0,True,0.0,ok
0.03,3,1149.7700002833096,-217.74699998268665,True,3.93984e-08,ok
0.03,4,1392.0799996438745,-210.34300002318955,True,4.63489e-08,ok
0.03,5,1726.82,-192.246,True,9.39417e-11,ok
0.03,6,2163.98,-164.42,True,2.77159e-11,ok
0.03,7,2728.88,-123.314,True,3.56114e-13,ok
0.03,8,3229.6600160948556,535.5519978961788,True,1.82464e-06,ok
0.03,9,3809.5800004675552,439.3939999243094,True,5.52967e-08,ok
0.03,10,4384.210274721394,336.13497252786055,True,1.08136e-05,ok
0.03,11,4819.239999875575,257.55300002173857,True,3.45318e-08,ok
0.03,12,5209.01,215.91,True,1.93213e-10,ok
0.03,13,5664.56,191.821,True,8.36173e-12,ok
0.03,14,6218.18,175.289,True,6.12968e-13,ok
0.03,15,6882.24,162.637,True,3.44137e-13,ok
0.05,1,585.64,0.0,True,0.0,ok
0.05,2,657.424,-189.317,True,5.46819e-09,ok
0.05,3,725.7259999202494,-201.6690000078193,True,1.66418e-08,ok
0.05,4,865.876,-196.705,True,5.57087e-09,ok
0.05,5,1065.16,-180.669,True,8.94366e-11,ok
0.05,6,1327.96,-154.414,True,2.0888e-12,ok
0.05,7,1667.67,-114.573,True,1.13858e-13,ok
0.05,8,2088.8600450073836,481.7359897125981,True,7.08435e-06,ok
0.05,9,2425.22,383.092,True,3.22868e-09,ok
0.05,10,2716.5399997805503,283.3630000923345,True,7.42042e-08,ok
0.05,11,2919.06,225.869,True,4.38335e-09,ok
0.05,12,3134.62,197.452,True,9.38063e-11,ok
0.05,13,3402.71,179.577,True,3.91589e-13,ok
