Ek_folder,Ek,Pr_folder,Pr,Ra_folder,Ra,fd,fd_stderr,m_star,drift_path
Ek1.7e-3,0.0017,Pr0.07,0.07,Ra1229_3200,1229.32,0.5011785057208354,2.3112790112415235e-12,2,/pfs/lustrep1/scratch/project_465001528/scalisim/THE/fs_RTC/Ek1.7e-3/Pr0.07/Ra1229_3200/movie/movie_test/drift.json
Ek1.7e-3,0.0017,Pr0.07,0.07,Ra1352_2520,1352.252,0.42186133264658876,0.0027124485322398703,2,/pfs/lustrep1/scratch/project_465001528/scalisim/THE/fs_RTC/Ek1.7e-3/Pr0.07/Ra1352_2520/movie/movie_test/drift.json
Ek1.7e-3,0.0017,Pr0.1,0.1,Ra903_8910,903.891,0.15641292253212874,1.1418435786665829e-05,2,/pfs/lustrep1/scratch/project_465001528/scalisim/THE/fs_RTC/Ek1.7e-3/Pr0.1/Ra903_8910/movie/movie_test/drift.json
Ek1.7e-3,0.0017,Pr0.1,0.1,Ra922_6255,922.6255,-3.883669394611836e-05,3.6960779252461004e-09,2,/pfs/lustrep1/scratch/project_465001528/scalisim/THE/fs_RTC/Ek1.7e-3/Pr0.1/Ra922_6255/movie/movie_test/drift.json
Ek1.7e-3,0.0017,Pr0.1,0.1,Ra994_2801,994.2801,-0.5860037693995834,0.0002610252304861414,2,/pfs/lustrep1/scratch/project_465001528/scalisim/THE/fs_RTC/Ek1.7e-3/Pr0.1/Ra994_2801/movie/movie_test/drift.json
Ek1.7e-3,0.0017,Pr0.1,0.1,Ra1581_8093,1581.8093,-2.1746139823266657,0.18726368456973602,2,/pfs/lustrep1/scratch/project_465001528/scalisim/THE/fs_RTC/Ek1.7e-3/Pr0.1/Ra1581_8093/movie/movie_test/drift.json
Ek1.7e-3,0.0017,Pr0.1,0.1,Ra2033_7547,2033.7547,-3.380815659583843,0.07178744897768666,2,/pfs/lustrep1/scratch/project_465001528/scalisim/THE/fs_RTC/Ek1.7e-3/Pr0.1/Ra2033_7547/movie/movie_test/drift.json
Ek1.7e-3,0.0017,Pr0.1,0.1,Ra2485_7002,2485.7002,-2.6344424234270205,0.04234082616422899,2,/pfs/lustrep1/scratch/project_465001528/scalisim/THE/fs_RTC/Ek1.7e-3/Pr0.1/Ra2485_7002/movie/movie_test/drift.json
Ek1.7e-3,0.0017,Pr0.1,0.1,Ra3615_564,3615.564,-0.6420911757692568,0.04358240836730535,4,/pfs/lustrep1/scratch/project_465001528/scalisim/THE/fs_RTC/Ek1.7e-3/Pr0.1/Ra3615_564/movie/movie_test/drift.json
Ek1.7e-3,0.0017,Pr0.2,0.2,Ra459_3005,459.3005,-0.04467764797015228,1.0311733261199528e-07,2,/pfs/lustrep1/scratch/project_465001528/scalisim/THE/fs_RTC/Ek1.7e-3/Pr0.2/Ra459_3005/movie/movie_test/drift.json
Ek1.7e-3,0.0017,Pr0.2,0.2,Ra461_3900,461.39,-0.019636344774239263,1.6187578387222042e-07,2,/pfs/lustrep1/scratch/project_465001528/scalisim/THE/fs_RTC/Ek1.7e-3/Pr0.2/Ra461_3900/movie/movie_test/drift.json
Ek1.7e-3,0.0017,Pr0.2,0.2,Ra462_4821,462.4821,-0.006552825398285822,2.1289929261425038e-07,2,/pfs/lustrep1/scratch/project_465001528/scalisim/THE/fs_RTC/Ek1.7e-3/Pr0.2/Ra462_4821/movie/movie_test/drift.json
Ek1.7e-3,0.0017,Pr0.2,0.2,Ra462_8799,462.8799,-0.0017947112994815178,2.1975301292968448e-07,2,/pfs/lustrep1/scratch/project_465001528/scalisim/THE/fs_RTC/Ek1.7e-3/Pr0.2/Ra462_8799/movie/movie_test/drift.json
Ek1.7e-3,0.0017,Pr0.2,0.2,Ra462_9915,462.9915,-0.00046077935962749724,2.2075132218340555e-07,2,/pfs/lustrep1/scratch/project_465001528/scalisim/THE/fs_RTC/Ek1.7e-3/Pr0.2/Ra462_9915/movie/movie_test/drift.json
Ek1.7e-3,0.0017,Pr0.2,0.2,Ra463_0204,463.0204,-0.00011541336338074855,2.2094874290118643e-07,2,/pfs/lustrep1/scratch/project_465001528/scalisim/THE/fs_RTC/Ek1.7e-3/Pr0.2/Ra463_0204/movie/movie_test/drift.json
Ek1.7e-3,0.0017,Pr0.2,0.2,Ra463_0496,463.0496,0.00023350812433968257,2.2112332792530772e-07,2,/pfs/lustrep1/scratch/project_465001528/scalisim/THE/fs_RTC/Ek1.7e-3/Pr0.2/Ra463_0496/movie/movie_test/drift.json
Ek1.7e-3,0.0017,Pr0.2,0.2,Ra463_1092,463.1092,0.0009455969506102185,2.2140343055655114e-07,2,/pfs/lustrep1/scratch/project_465001528/scalisim/THE/fs_RTC/Ek1.7e-3/Pr0.2/Ra463_1092/movie/movie_test/drift.json
Ek1.7e-3,0.0017,Pr0.2,0.2,Ra463_3639,463.3639,0.003987247821784412,2.2150803547472154e-07,2,/pfs/lustrep1/scratch/project_465001528/scalisim/THE/fs_RTC/Ek1.7e-3/Pr0.2/Ra463_3639/movie/movie_test/drift.json
Ek1.7e-3,0.0017,Pr0.2,0.2,Ra464_7139,464.7139,0.02006550469744924,1.9989819365410398e-07,2,/pfs/lustrep1/scratch/project_465001528/scalisim/THE/fs_RTC/Ek1.7e-3/Pr0.2/Ra464_7139/movie/movie_test/drift.json
Ek1.7e-3,0.0017,Pr0.2,0.2,Ra496_3179,496.3179,0.3734083366790287,6.304997251578312e-13,2,/pfs/lustrep1/scratch/project_465001528/scalisim/THE/fs_RTC/Ek1.7e-3/Pr0.2/Ra496_3179/movie/movie_test/drift.json
Ek1.7e-3,0.0017,Pr0.2,0.2,Ra647_2651,647.2651,0.1821834904285158,0.013604074082904904,2,/pfs/lustrep1/scratch/project_465001528/scalisim/THE/fs_RTC/Ek1.7e-3/Pr0.2/Ra647_2651/movie/movie_test/drift.json
