Ek_folder,Ek,Pr,m_star,Ra0,Ra_c,Ra0_over_Rac,supercriticality,method,bracket_lo,bracket_hi
Ek1.7e-3,0.0017,0.1,2,922.6255,903.891,1.020726503527527,0.02072650352752713,near_fd,,
Ek1.7e-3,0.0017,0.2,2,463.03005853445353,454.753,1.0182012180996136,0.018201218099613517,sign_interp,463.0204,463.0496
Ek1.7e-3,0.0017,0.3,2,309.356,304.052,1.0174443845131753,0.01744438451317529,near_fd,,
Ek1.7e-3,0.0017,0.4,2,232.3493,228.422,1.0171931775398166,0.017193177539816668,near_fd,,
Ek1.7e-3,0.0017,0.5,2,186.0692,182.937,1.0171217413645133,0.017121741364513374,near_fd,,
Ek1.7e-3,0.0017,0.6,2,155.1724,152.564,1.0170970871240923,0.0170970871240923,near_fd,,
Ek1.7e-3,0.0017,0.7,2,133.0748,130.843,1.0170570836804416,0.017057083680441606,near_fd,,
Ek1.7e-3,0.0017,0.8,2,116.4949,114.538,1.017085159510381,0.017085159510380876,near_fd,,
Ek1.7e-3,0.0017,1.0,2,93.2542,91.6877,1.0170851706390278,0.017085170639027814,near_fd,,
Ek1.7e-3,0.0017,2.0,2,46.68874001292368,45.904,1.0170952425262216,0.017095242526221622,sign_interp,46.6845,46.6975
Ek1.7e-3,0.0017,3.0,2,31.138647696215337,30.6166,1.0170511322686169,0.017051132268616973,sign_interp,31.1235,31.146
Ek1.7e-3,0.0017,4.0,2,23.3615,22.9678,1.0171413892492969,0.0171413892492968,near_fd,,
Ek1.7e-3,0.0017,5.0,2,18.6913,18.3768,1.0171139697879934,0.017113969787993497,near_fd,,
Ek1.7e-3,0.0017,6.0,2,15.5771,15.3155,1.017080735202899,0.017080735202899,near_fd,,
Ek1.7e-3,0.0017,8.0,2,11.6883,11.4879,1.0174444415428407,0.01744444154284074,near_fd,,
Ek1.7e-3,0.0017,10.0,2,9.3505,9.19101,1.0173528262943898,0.017352826294389834,near_fd,,
Ek1.7e-3,0.0017,20.0,2,4.6784,4.59616,1.0178931977999024,0.01789319779990245,near_fd,,
Ek1.7e-3,0.0017,40.0,2,2.3388,2.29825,1.0176438594582835,0.017643859458283513,near_fd,,
