Pr,m,Ra_c,omega_c,crossing_found,sigma_min,status
0.01,1,4073.24084962991,433.5137296245767,True,0.00171101,ok
0.01,2,5618.928495793979,320.68901826535887,True,2.677e-05,ok
0.01,3,7114.039995673447,243.16400005942492,True,8.00411e-08,ok
0.01,4,9056.29,180.003,True,2.13237e-09,ok
0.01,5,10951.000003699508,124.64099993069935,True,1.14615e-07,ok
0.01,6,12611.1,92.767,True,1.11068e-10,ok
0.01,7,14721.3,76.4146,True,3.95046e-13,ok
0.01,8,17540.8,66.2206,True,7.60705e-15,ok
0.01,9,21161.9,58.9222,True,1.92725e-13,ok
0.01,10,25663.8,53.2755,True,1.96946e-14,ok
0.01,11,31133.1,48.703,True,9.05243e-14,ok
0.01,12,37665.5,44.8916,True,2.86664e-13,ok
0.01,13,45364.4,41.6507,True,2.8288e-13,ok
0.01,14,54340.4,38.8543,True,2.14744e-13,ok
0.01,15,64710.3,36.4137,True,3.81828e-13,ok
0.03,1,2115.159339194315,399.2920168603971,True,1.83403e-05,ok
0.03,2,2254.8099098975504,286.21900426065844,True,4.02448e-06,ok
0.03,3,2567.1199193980997,221.92700384044346,True,4.00701e-06,ok
0.03,4,3159.79,162.668,True,1.0465e-09,ok
0.03,5,3702.9600003224796,112.83099998263572,True,3.204e-08,ok
0.03,6,4215.23,86.7173,True,8.38397e-11,ok
0.03,7,4910.39,72.8033,True,4.04562e-13,ok
0.03,8,5848.23,63.7107,True,1.97158e-13,ok
0.03,9,7054.62,57.0022,True,1.12731e-13,ok
0.03,10,8555.0,51.7142,True,1.29899e-13,ok
0.03,11,10378.0,47.3807,True,1.63562e-13,ok
0.03,12,12555.4,43.7395,True,2.12401e-13,ok
0.03,13,15121.7,40.6262,True,2.92041e-13,ok
0.03,14,18113.6,37.9293,True,5.4904e-14,ok
0.03,15,21570.2,35.5688,True,2.72138e-13,ok
0.05,1,1559.4200052528004,-168.04499977237865,True,2.73343e-07,ok
0.05,2,1655.109434048797,243.43805059655915,True,4.70805e-05,ok
0.05,3,1686.929891192239,199.58500960568517,True,8.36382e-06,ok
0.05,4,1985.8101215099064,144.67298584359128,True,1.36365e-05,ok
0.05,5,2247.54,102.206,True,3.25485e-09,ok
0.05,6,2535.14,81.3377,True,3.38102e-11,ok
0.05,7,2948.3,69.51,True,5.02893e-14,ok
0.05,8,3509.92,61.3829,True,1.96086e-13,ok
0.05,9,4233.36,55.2031,True,1.69163e-13,ok
0.05,10,5133.4,50.2417,True,2.45215e-13,ok
0.05,11,6227.1,46.1282,True,2.43616e-13,ok
0.05,12,7533.47,42.645,True,3.34405e-13,ok
0.05,13,9073.18,39.651,True,6.5456e-14,ok
0.05,14,10868.3,37.0474,True,4.28567e-14,ok
0.05,15,12942.3,34.7621,True,7.96575e-14,ok
0.07,1,1229.32000092061,-154.00399994300983,True,6.07672e-08,ok
0.07,2,1286.83,-2.38989,True,5.23141e-14,ok
0.07,3,1322.4999972777612,176.04600037535715,True,2.85261e-07,ok
0.07,4,1479.0199991207157,126.36300015896013,True,1.51408e-07,ok
0.07,5,1619.42,92.8764,True,1.71289e-09,ok
0.07,6,1814.51,76.5461,True,9.84918e-12,ok
0.07,7,2107.42,66.4971,True,2.30122e-14,ok
0.07,8,2507.89,59.2186,True,8.51675e-14,ok
0.07,9,3024.35,53.514,True,0.0,ok
0.07,10,3667.09,48.8507,True,1.5731e-13,ok
0.07,11,4448.22,44.9402,True,1.89188e-13,ok
0.07,12,5381.28,41.604,True,2.10184e-13,ok
0.07,13,6481.03,38.7215,True,8.32307e-14,ok
0.07,14,7763.25,36.2056,True,1.04602e-13,ok
0.07,15,9244.6,33.9913,True,8.01725e-14,ok
0.1,1,997.1410028613304,-133.43799968207438,True,2.50343e-07,ok
0.1,2,903.891,-1.98569,True,1.22572e-14,ok
0.1,3,1052.2097865456003,137.82805392532205,True,3.55988e-05,ok
0.1,4,1082.14,100.316,True,9.442e-09,ok
0.1,5,1143.46,81.2194,True,2.37482e-10,ok
0.1,6,1273.39,70.2955,True,3.20595e-12,ok
0.1,7,1476.76,62.4339,True,2.50192e-13,ok
0.1,8,1756.47,56.2434,True,1.42675e-13,ok
0.1,9,2117.7,51.1656,True,1.45324e-13,ok
0.1,10,2567.45,46.9029,True,3.81619e-14,ok
0.1,11,3114.13,43.2687,True,1.03927e-13,ok
0.1,12,3767.21,40.1345,True,7.8239e-14,ok
0.1,13,4536.98,37.4061,True,2.23308e-13,ok
0.1,14,5434.49,35.0122,True,6.37956e-14,ok
0.1,15,6471.41,32.897,True,5.25657e-14,ok
0.2,1,529.596,-2.99693,True,3.29062e-14,ok
0.2,2,454.753,-1.26019,True,1.62559e-13,ok
0.2,3,527.008,26.4842,True,1.57692e-12,ok
0.2,4,550.129,51.9739,True,4.87342e-13,ok
0.2,5,577.061,56.7821,True,3.02028e-13,ok
0.2,6,640.197,55.23,True,0.0,ok
0.2,7,740.817,51.8731,True,9.33566e-14,ok
0.2,8,880.022,48.1791,True,1.04694e-13,ok
0.2,9,1060.21,44.6383,True,1.93568e-13,ok
0.2,10,1284.8,41.4014,True,3.56814e-14,ok
0.2,11,1557.93,38.4966,True,4.6275e-14,ok
0.2,12,1884.32,35.907,True,2.2366e-13,ok
0.2,13,2269.09,33.6015,True,2.03696e-13,ok
0.2,14,2717.75,31.5463,True,3.79795e-14,ok
0.2,15,3236.14,29.7091,True,1.04116e-13,ok
0.3,1,356.613,-2.21911,True,4.97521e-14,ok
0.3,2,304.052,-0.9198,True,6.23685e-14,ok
0.3,3,337.523,16.6837,True,4.82854e-14,ok
0.3,4,360.799,35.5955,True,1.49461e-13,ok
0.3,5,384.722,43.8406,True,1.26697e-13,ok
0.3,6,428.12,45.5468,True,1.15158e-13,ok
0.3,7,495.273,44.391,True,4.78573e-14,ok
0.3,8,587.891,42.1462,True,8.01162e-14,ok
0.3,9,707.813,39.5916,True,5.98216e-14,ok
0.3,10,857.364,37.0567,True,8.0992e-14,ok
0.3,11,1039.31,34.6732,True,1.75185e-13,ok
0.3,12,1256.79,32.4856,True,1.02518e-13,ok
0.3,13,1513.21,30.4996,True,7.10021e-14,ok
0.3,14,1812.25,28.7048,True,2.2298e-13,ok
0.3,15,2157.79,27.0845,True,1.17074e-13,ok
0.4,1,269.058,-1.75795,True,3.3967e-14,ok
0.4,2,228.422,-0.723458,True,5.19487e-14,ok
0.4,3,248.543,12.541,True,9.60362e-14,ok
0.4,4,267.411,27.5008,True,2.09913e-14,ok
0.4,5,288.124,35.8676,True,8.9268e-15,ok
0.4,6,321.738,38.8099,True,4.18057e-14,ok
0.4,7,372.339,38.8159,True,1.41138e-13,ok
0.4,8,441.767,37.464,True,2.82433e-13,ok
0.4,9,531.603,35.5734,True,3.51237e-14,ok
0.4,10,643.657,33.5387,True,2.06837e-13,ok
0.4,11,780.023,31.5414,True,1.96742e-13,ok
0.4,12,943.05,29.6598,True,1.22083e-13,ok
0.4,13,1135.3,27.9221,True,2.81314e-13,ok
0.4,14,1359.53,26.3331,True,7.21745e-14,ok
0.4,15,1618.63,24.8861,True,1.33218e-13,ok
0.5,1,216.096,-1.45415,True,2.58237e-14,ok
0.5,2,182.937,-0.595956,True,8.98241e-14,ok
0.5,3,196.666,10.1264,True,2.98849e-14,ok
0.5,4,212.168,22.5583,True,4.23724e-14,ok
0.5,5,230.148,30.4327,True,1.15676e-13,ok
0.5,6,257.765,33.8452,True,8.34592e-14,ok
0.5,7,298.472,34.4995,True,2.47763e-14,ok
0.5,8,354.029,33.724,True,5.12959e-14,ok
0.5,9,425.843,32.2982,True,3.61925e-15,ok
0.5,10,515.415,30.6319,True,1.36728e-13,ok
0.5,11,624.439,28.929,True,1.16141e-14,ok
0.5,12,754.802,27.2865,True,7.23293e-14,ok
0.5,13,908.554,25.7465,True,1.97786e-13,ok
0.5,14,1087.89,24.3234,True,8.21046e-15,ok
0.5,15,1295.14,23.0177,True,1.1029e-14,ok
0.6,1,180.583,-1.23933,True,2.74543e-14,ok
0.6,2,152.564,-0.506568,True,1.01423e-13,ok
0.6,3,162.682,8.51901,True,5.94224e-14,ok
0.6,4,175.746,19.185,True,5.61869e-14,ok
0.6,5,191.533,26.4721,True,3.4038e-14,ok
0.6,6,215.045,30.0287,True,5.00555e-14,ok
0.6,7,249.156,31.0567,True,9.70443e-14,ok
0.6,8,295.485,30.6673,True,1.30518e-14,ok
0.6,9,355.3,29.5772,True,1.69966e-13,ok
0.6,10,429.896,28.1896,True,3.30841e-14,ok
0.6,11,520.701,26.7166,True,1.28774e-13,ok
0.6,12,629.292,25.2651,True,1.46166e-13,ok
0.6,13,757.38,23.8855,True,2.37526e-14,ok
0.6,14,906.795,22.5987,True,8.50491e-14,ok
0.6,15,1079.48,21.4104,True,6.04356e-14,ok
0.7,1,155.108,-1.07956,True,5.82254e-15,ok
0.7,2,130.843,-0.440453,True,2.7655e-14,ok
0.7,3,138.698,7.36372,True,1.65553e-14,ok
0.7,4,149.953,16.7195,True,4.65528e-14,ok
0.7,5,163.987,23.4481,True,2.67056e-14,ok
0.7,6,184.491,26.9993,True,4.04655e-14,ok
0.7,7,213.88,28.2453,True,9.41094e-14,ok
0.7,8,253.627,28.1216,True,2.19498e-14,ok
0.7,9,304.881,27.2804,True,1.18774e-13,ok
0.7,10,368.788,26.1087,True,5.20299e-14,ok
0.7,11,446.584,24.819,True,5.55649e-14,ok
0.7,12,539.628,23.5227,True,4.99124e-14,ok
0.7,13,649.388,22.2755,True,8.95195e-14,ok
0.7,14,777.432,21.1025,True,3.708e-14,ok
0.7,15,925.422,20.0129,True,6.39202e-14,ok
0.8,1,135.937,-0.956139,True,4.30347e-14,ok
0.8,2,114.538,-0.389581,True,4.44847e-14,ok
0.8,3,120.868,6.49011,True,4.44261e-14,ok
0.8,4,130.74,14.8314,True,0.0,ok
0.8,5,143.353,21.0584,True,4.92338e-14,ok
0.8,6,161.551,24.5339,True,5.84726e-14,ok
0.8,7,187.388,25.9052,True,8.84745e-14,ok
0.8,8,222.2,25.9683,True,1.40378e-14,ok
0.8,9,267.041,25.3157,True,4.44702e-15,ok
0.8,10,322.936,24.3144,True,1.72292e-13,ok
0.8,11,390.981,23.1732,True,4.47141e-14,ok
0.8,12,472.368,22.0053,True,4.36804e-14,ok
0.8,13,568.383,20.8689,True,1.20878e-13,ok
0.8,14,680.401,19.7922,True,1.60372e-13,ok
0.8,15,809.874,18.7867,True,4.40821e-14,ok
1.0,1,109.003,-0.778041,True,1.41135e-14,ok
1.0,2,91.6877,-0.316448,True,2.66825e-15,ok
1.0,3,96.1375,5.25237,True,1.22513e-14,ok
1.0,4,104.045,12.1193,True,6.31881e-14,ok
1.0,5,114.515,17.5136,True,4.68234e-14,ok
1.0,6,129.394,20.7592,True,2.99028e-14,ok
1.0,7,150.232,22.2305,True,7.5442e-14,ok
1.0,8,178.139,22.5236,True,8.80045e-14,ok
1.0,9,214.01,22.1302,True,4.41778e-14,ok
1.0,10,258.699,21.3771,True,5.70771e-14,ok
1.0,11,313.099,20.4603,True,8.71437e-14,ok
1.0,12,378.173,19.4908,True,4.21765e-14,ok
1.0,13,454.952,18.5289,True,6.43214e-14,ok
1.0,14,544.538,17.6058,True,1.93572e-14,ok
1.0,15,648.091,16.7359,True,3.30396e-14,ok
1.2,1,90.9805,-0.655776,True,3.58082e-14,ok
1.2,2,76.4391,-0.266417,True,1.13789e-14,ok
1.2,3,79.8009,4.41497,True,4.59859e-14,ok
1.2,4,86.3874,10.2579,True,2.33644e-14,ok
1.2,5,95.3275,15.0036,True,9.37203e-15,ok
1.2,6,107.927,18.0009,True,4.49687e-14,ok
1.2,7,125.407,19.4747,True,1.579e-14,ok
1.2,8,148.708,19.8888,True,5.76402e-14,ok
1.2,9,178.605,19.6583,True,5.63123e-14,ok
1.2,10,215.83,19.0739,True,7.57336e-15,ok
1.2,11,261.141,18.3165,True,6.75105e-14,ok
1.2,12,315.345,17.4923,True,4.03401e-14,ok
1.2,13,379.306,16.661,True,9.43813e-14,ok
1.2,14,453.94,15.8544,True,8.54651e-14,ok
1.2,15,540.216,15.0887,True,6.95103e-14,ok
1.4,1,78.0741,-0.566677,True,1.85389e-15,ok
1.4,2,65.5397,-0.230039,True,4.32406e-15,ok
1.4,3,68.2068,3.80955,True,0.0,ok
1.4,4,73.8468,8.89772,True,1.31843e-14,ok
1.4,5,81.6434,13.1295,True,1.67462e-14,ok
1.4,6,92.5753,15.8949,True,5.25928e-15,ok
1.4,7,107.641,17.33,True,2.91752e-14,ok
1.4,8,127.648,17.8077,True,1.10021e-14,ok
1.4,9,153.28,17.6842,True,3.038e-14,ok
1.4,10,185.179,17.2191,True,6.5836e-14,ok
1.4,11,224.002,16.5795,True,2.67031e-14,ok
1.4,12,270.446,15.8656,True,1.22265e-14,ok
1.4,13,325.253,15.1352,True,2.54323e-14,ok
1.4,14,389.21,14.4201,True,0.0,ok
1.4,15,463.148,13.7368,True,4.71374e-14,ok
1.6,1,68.3754,-0.498872,True,2.97304e-14,ok
1.6,2,57.3608,-0.202399,True,1.117e-14,ok
1.6,3,59.5525,3.35097,True,1.99467e-14,ok
1.6,4,64.4821,7.85888,True,2.31423e-14,ok
1.6,5,71.3932,11.6752,True,2.64837e-14,ok
1.6,6,81.0512,14.233,True,2.81133e-14,ok
1.6,7,94.2936,15.6127,True,1.69141e-14,ok
1.6,8,111.828,16.1219,True,1.62318e-14,ok
1.6,9,134.262,16.0709,True,1.07528e-14,ok
1.6,10,162.168,15.6935,True,7.00668e-14,ok
1.6,11,196.128,15.1436,True,5.25127e-14,ok
1.6,12,236.755,14.5158,True,6.43321e-14,ok
1.6,13,284.699,13.8655,True,8.53767e-14,ok
1.6,14,340.65,13.2237,True,3.39747e-14,ok
1.6,15,405.336,12.6073,True,3.30866e-14,ok
1.8,1,60.8205,-0.445547,True,1.44578e-14,ok
1.8,2,50.9968,-0.180686,True,9.59796e-15,ok
1.8,3,52.8461,2.99138,True,3.97386e-15,ok
1.8,4,57.2234,7.03885,True,2.6128e-14,ok
1.8,5,63.4288,10.513,True,1.68721e-14,ok
1.8,6,72.081,12.8875,True,5.30133e-14,ok
1.8,7,83.8975,14.2064,True,5.04148e-14,ok
1.8,8,99.5057,14.7285,True,1.80629e-14,ok
1.8,9,119.453,14.7278,True,0.0,ok
1.8,10,144.255,14.4164,True,5.7685e-14,ok
1.8,11,174.435,13.9368,True,6.73882e-14,ok
1.8,12,210.538,13.3778,True,2.98037e-14,ok
1.8,13,253.146,12.7923,True,4.54203e-14,ok
1.8,14,302.872,12.2107,True,3.3107e-14,ok
1.8,15,360.363,11.6493,True,1.29949e-13,ok
2.0,1,54.7692,-0.402515,True,3.11546e-14,ok
2.0,2,45.904,-0.16318,True,1.09737e-14,ok
2.0,3,47.4968,2.70174,True,2.14755e-14,ok
2.0,4,51.4325,6.37471,True,1.57906e-14,ok
2.0,5,57.0627,9.56254,True,3.17254e-14,ok
2.0,6,64.9,11.7755,True,4.42599e-14,ok
2.0,7,75.5699,13.0332,True,0.0,ok
2.0,8,89.6351,13.5572,True,2.80579e-14,ok
2.0,9,107.593,13.5921,True,2.56387e-14,ok
2.0,10,129.913,13.3316,True,5.17972e-14,ok
2.0,11,157.069,12.9081,True,2.31231e-14,ok
2.0,12,189.555,12.4053,True,1.92209e-14,ok
2.0,13,227.895,11.8734,True,6.84761e-14,ok
2.0,14,272.642,11.3418,True,4.99856e-14,ok
2.0,15,324.378,10.8267,True,1.08991e-13,ok
