Pr,m,Ra_c,omega_c,crossing_found,sigma_min,status
0.01,1,400.0,0.0,True,0.0,ok
0.01,2,3854.3400953676587,844.1469973508985,True,3.15687e-06,ok
0.01,3,4678.17,-111.081,True,2.07626e-10,ok
0.01,4,5696.969256598416,554.4820205076298,True,2.95488e-05,ok
0.01,5,6914.697994962303,464.8710462701007,True,7.07252e-05,ok
0.01,6,8513.760013859097,384.313,True,5.12524e-07,ok
0.01,7,10398.5,302.376,True,9.89718e-09,ok
0.01,8,12169.699951001214,223.0950020416161,True,2.41899e-06,ok
0.01,9,13591.2,171.567,True,1.15527e-10,ok
0.01,10,15121.3,144.192,True,1.70056e-11,ok
0.01,11,17017.0,127.363,True,2.95463e-13,ok
0.01,12,19356.8,115.422,True,1.15552e-13,ok
0.01,13,22184.9,106.173,True,0.0,ok
0.01,14,25541.3,98.6176,True,8.43547e-14,ok
0.01,15,29467.3,92.2336,True,3.39419e-13,ok
0.03,1,708.624,0.0,True,0.0,ok
0.03,2,1361.57,-105.165,True,7.607e-12,ok
0.03,3,1600.72,-103.983,True,3.5088e-10,ok
0.03,4,2032.97,-87.6381,True,3.99703e-14,ok
0.03,5,2507.8700632327345,425.02499437863827,True,5.68801e-06,ok
0.03,6,3022.7799461268055,350.31100506081526,True,4.48001e-06,ok
0.03,7,3626.0792756012665,269.29610865981,True,7.58015e-05,ok
0.03,8,4134.020001814723,196.908,True,7.33272e-08,ok
0.03,9,4552.27,156.753,True,1.82795e-09,ok
0.03,10,5047.49,135.212,True,4.12293e-13,ok
0.03,11,5675.19,121.171,True,5.09398e-14,ok
0.03,12,6453.67,110.748,True,4.25533e-13,ok
0.03,13,7395.77,102.422,True,9.09891e-14,ok
0.03,14,8514.27,95.4769,True,1.89761e-13,ok
0.03,15,9822.79,89.5218,True,3.47559e-13,ok
0.05,1,943.179,0.0,True,0.0,ok
0.05,2,847.136,-97.9801,True,8.48496e-12,ok
0.05,3,986.877,-97.5357,True,4.45411e-11,ok
0.05,4,1245.84,-82.0559,True,8.17614e-14,ok
0.05,5,1628.37,-48.8635,True,5.79865e-14,ok
0.05,6,1948.759998316774,313.67600030380174,True,2.19138e-07,ok
0.05,7,2276.4698151966363,233.3960463475102,True,3.39824e-05,ok
0.05,8,2515.85,173.074,True,2.79267e-09,ok
0.05,9,2741.17,143.915,True,1.27906e-11,ok
0.05,10,3032.11,127.23,True,2.52727e-13,ok
0.05,11,3406.84,115.542,True,3.01061e-13,ok
0.05,12,3873.19,106.435,True,6.48508e-13,ok
0.05,13,4438.11,98.9268,True,2.37676e-13,ok
0.05,14,5109.03,92.5298,True,3.71307e-13,ok
0.05,15,5894.03,86.9649,True,1.44315e-13,ok
0.07,1,732.778,0.0,True,0.0,ok
0.07,2,627.989,-91.5589,True,4.94436e-13,ok
0.07,3,724.397,-91.6713,True,2.07007e-12,ok
0.07,4,908.289,-76.9521,True,7.19067e-14,ok
0.07,5,1179.28,-44.8168,True,2.78741e-13,ok
0.07,6,1504.34,272.203,True,6.72727e-09,ok
