Ek_folder,Ek,Pr,m,Ra_c,omega_c,crossing_found,sigma_min,status
Ek1e-6,1e-06,0.1,35,1635.7485401527997,-15038.114598472004,True,0.0111027,ok
Ek1e-6,1e-06,0.1,40,1824.8046012626824,-15442.414953671929,True,0.0918838,ok
Ek1e-6,1e-06,0.1,45,2051.7923536037288,-15653.0,True,0.0126839,ok
Ek1e-6,1e-06,0.1,50,2318.3829255143114,-15673.8,True,0.0483541,ok
Ek1e-6,1e-06,0.1,55,2626.958251283694,-15531.05246148917,True,0.0291454,ok
Ek1e-6,1e-06,0.1,60,2978.9984107644395,-15237.015892355605,True,0.0781111,ok
Ek1e-6,1e-06,0.1,65,3378.989798757113,-14794.000370124322,True,0.000880188,ok
Ek1e-6,1e-06,0.1,70,3832.351364741314,-14200.6973332641,True,0.00552293,ok
Ek1e-6,1e-06,0.1,75,4344.960663932652,-13446.298518497386,True,0.00249185,ok
Ek1e-6,1e-06,0.1,80,4924.190073678317,-12503.699827174318,True,0.000255244,ok
Ek1e-6,1e-06,0.1,85,5579.349893355396,-11325.200268184228,True,0.000338673,ok
Ek1e-6,1e-06,0.1,90,6322.400000143977,-9825.359999581086,True,4.18745e-07,ok
Ek1e-6,1e-06,0.1,95,7170.32987239689,-7830.330442939829,True,0.000335908,ok
Ek1e-6,1e-06,0.1,100,8151.34999998536,-4884.630000063442,True,3.16995e-08,ok
Ek1e-6,1e-06,0.1,105,9237.407621267694,555.730785437558,True,0.683605,ok
Ek1e-6,1e-06,0.1,110,9775.640842634826,4314.600537523702,True,21.9309,ok
Ek1e-6,1e-06,0.1,115,10180.901777315015,5187.883236584188,True,0.0250915,ok
Ek1e-6,1e-06,0.1,120,10637.398733178848,5476.299118571531,True,0.0154606,ok
Ek1e-6,1e-06,0.3,1,2942.899975285764,-1397.4699917619214,True,8.45092e-06,ok
Ek1e-6,1e-06,0.3,2,2061.060116387366,-2143.2700578108297,True,9.30924e-05,ok
Ek1e-6,1e-06,0.3,3,1664.090502483626,-2708.85031607841,True,0.000620889,ok
Ek1e-6,1e-06,0.3,4,1432.4852237262428,-3180.16,True,0.000956018,ok
Ek1e-6,1e-06,0.3,5,1278.940208309569,-3590.7701732012147,True,0.000434488,ok
Ek1e-6,1e-06,0.3,6,1169.1603053636206,-3957.890273774281,True,0.000760165,ok
Ek1e-6,1e-06,0.3,7,1086.728891279154,-4291.768947040471,True,0.00323084,ok
