Pr,m,Ra_c,omega_c,crossing_found,sigma_min,status
0.01,1,2080.126855406213,-1032.9521599475086,True,0.0189385,ok
0.01,2,1794.3499447903794,-1387.9200077712783,True,1.13498e-05,ok
0.01,3,1962.2300304463358,-1505.9099953909094,True,6.78481e-06,ok
0.01,4,2295.200010290913,-1518.8699984333973,True,2.29627e-06,ok
0.01,5,2723.52,0.0,True,0.0,ok
0.01,6,3213.56,0.0,True,0.0,ok
0.01,7,3744.7403592833016,-1335.2499542612127,True,7.46862e-05,ok
0.01,8,4308.14999360831,-1256.1600007375027,True,1.26809e-06,ok
0.01,9,4908.140791006363,-1180.5499272637826,True,0.000147454,ok
0.01,10,5558.94995540689,-1109.6600036705704,True,7.5616e-06,ok
0.01,11,6278.480021234647,-1042.5399984771966,True,3.21398e-06,ok
0.01,12,7084.419996228998,-977.3940002522612,True,5.1e-07,ok
0.01,13,7993.69764993028,-912.2311508753185,True,0.000282743,ok
0.01,14,9023.19032698834,-844.9709789230408,True,3.48926e-05,ok
0.01,15,10190.800235615012,-773.3169844990123,True,2.23677e-05,ok
0.03,1,1548.689999950737,-733.0910000112756,True,1.84391e-08,ok
0.03,2,1294.5401443030598,-1001.6099278484701,True,7.67101e-05,ok
0.03,3,1220.1799980843869,-1115.9900011383518,True,1.04259e-06,ok
0.03,4,1222.9200086720293,-1155.4899947004265,True,5.26273e-06,ok
0.03,5,1270.0099976016159,-1157.2700013849824,True,1.60349e-06,ok
0.03,6,1348.900044789568,-1140.319955210432,True,3.83378e-05,ok
0.03,7,1456.430068850909,-1112.9299755901384,True,4.46611e-05,ok
0.03,8,1592.2700422447886,-1078.7299871428904,True,2.54026e-05,ok
0.03,9,1756.9599913771208,-1039.630002096605,True,4.49888e-06,ok
0.03,10,1951.830001116611,-996.6799997602031,True,5.18535e-07,ok
0.03,11,2178.959999684368,-950.3310000622373,True,1.29669e-07,ok
0.03,12,2441.249999954625,-900.5100000085047,True,1.6601e-08,ok
0.03,13,2742.2799927254846,-846.6800013339807,True,2.37964e-06,ok
0.03,14,3086.3400032957434,-787.847999387541,True,9.61154e-07,ok
0.03,15,3478.5299780396526,-722.4780041308057,True,5.80463e-06,ok
0.05,1,1343.0500407414333,-496.59200407414335,True,6.03554e-06,ok
0.05,2,901.0136627171587,-583.5469437861932,True,0.000115599,ok
0.05,3,807.916,-691.035,True,5.29365e-09,ok
0.05,4,814.5589998920681,-774.0589999801177,True,6.41826e-08,ok
0.05,5,857.220999768898,-842.4529999480375,True,1.81467e-07,ok
0.05,6,907.0679999045966,-896.4699999920828,True,9.68626e-08,ok
0.05,7,961.269001079602,-927.011,True,1.08894e-06,ok
0.05,8,1030.1499942915327,-934.4000005708467,True,3.12957e-06,ok
0.05,9,1118.689999713993,-924.727000085802,True,2.4495e-07,ok
0.05,10,1228.3400001703121,-902.9599999506095,True,1.1877e-07,ok
0.05,11,1359.9600000914045,-872.1539999738394,True,5.58929e-08,ok
0.05,12,1514.7601708241489,-833.9219511931003,True,9.41517e-05,ok
0.05,13,1694.450104246928,-788.8409699221978,True,5.16813e-05,ok
0.05,14,1901.2099898978006,-736.6640029521593,True,4.55422e-06,ok
0.05,15,2137.7700002768834,-676.3779999158701,True,1.12458e-07,ok
0.07,1,1019.5399996012127,-374.47199993436624,True,9.26151e-08,ok
0.07,2,685.244974832955,-506.48299840346243,True,1.12223e-05,ok
0.07,3,609.4070340257648,-608.6980015466256,True,2.06009e-05,ok
0.07,4,602.4843465032513,-682.7600133135728,True,0.00024311,ok
0.07,5,627.234,-738.714,True,2.70881e-09,ok
0.07,6,668.322000459433,-782.376,True,1.1789e-07,ok
0.07,7,717.3209997939384,-814.5920000058624,True,2.04244e-07,ok
0.07,8,772.6319998875774,-832.982,True,1.09195e-07,ok
0.07,9,837.4679187463504,-836.5880270845498,True,7.48726e-05,ok
0.07,10,915.267098478725,-826.9559677471425,True,8.46322e-05,ok
0.07,11,1008.2799461453488,-806.280018903344,True,4.17132e-05,ok
0.07,12,1118.0800695197686,-776.2319739300867,True,4.99143e-05,ok
0.07,13,1246.1300059016432,-737.6749977828962,True,3.74671e-06,ok
0.07,14,1394.0300044305836,-690.6739982671495,True,2.5732e-06,ok
0.07,15,1563.6299990304246,-634.4840003928724,True,5.19598e-07,ok
0.1,1,795.8240006160227,-305.2370000726376,True,1.67029e-07,ok
0.1,2,549.4120038435552,-434.3080001770058,True,2.08726e-06,ok
0.1,3,482.0160084728964,-527.267,True,6.19154e-06,ok
0.1,4,465.50502450171143,-594.6329991886851,True,2.07891e-05,ok
0.1,5,474.2740820555132,-644.8439949761931,True,7.73191e-05,ok
0.1,6,498.53394011473335,-682.9240049418921,True,5.98748e-05,ok
0.1,7,532.8409941227034,-711.4160006977652,True,6.22875e-06,ok
0.1,8,574.195902961485,-730.6470178590289,True,0.000106924,ok
0.1,9,622.0967004643331,-739.6980809167143,True,0.000330605,ok
0.1,10,677.8769257283569,-737.922074271643,True,7.09877e-05,ok
0.1,11,743.3939986062841,-725.533001393716,True,1.99687e-06,ok
0.1,12,820.3049978450887,-703.1620009948969,True,1.92726e-06,ok
0.1,13,909.9990050935289,-671.2979975124626,True,4.19044e-06,ok
0.1,14,1013.7499993365026,-629.9590003413758,True,5.05214e-07,ok
0.1,15,1132.8300001019898,-578.5019999435414,True,7.25315e-08,ok
0.2,1,541.334,-205.151,True,5.87463e-09,ok
0.2,2,388.394,-304.992,True,6.115e-09,ok
0.2,3,335.6020055450344,-375.774,True,4.93783e-07,ok
0.2,4,314.054999414253,-428.9959999926798,True,6.91256e-07,ok
0.2,5,308.4879942575467,-469.942,True,1.27677e-06,ok
0.2,6,313.30899824701703,-501.3110002727105,True,2.37644e-06,ok
0.2,7,325.81599984017424,-524.7140000368544,True,2.24386e-07,ok
0.2,8,344.43199951596307,-541.0390001474524,True,6.93359e-07,ok
0.2,9,368.22299990477256,-550.5170000365724,True,1.37524e-07,ok
0.2,10,396.8209995408342,-552.8590002156465,True,6.59503e-07,ok
0.2,11,430.37000004231254,-547.4989999759487,True,5.89574e-08,ok
0.2,12,469.3639999612626,-533.837000024753,True,5.26584e-08,ok
0.2,13,514.441,-511.309,True,2.16686e-09,ok
0.2,14,566.221,-479.292,True,9.87788e-11,ok
0.2,15,625.206,-436.941,True,3.83021e-10,ok
0.3,1,433.129,-157.167,True,1.4283e-09,ok
0.3,2,318.48799935554,-238.35799980090155,True,5.00056e-07,ok
0.3,3,275.18699964499285,-296.0689999058078,True,3.88474e-07,ok
0.3,4,255.62299974214457,-340.007999955503,True,3.41662e-07,ok
0.3,5,248.2330001302406,-374.2550000079902,True,1.93127e-07,ok
0.3,6,248.6479999215254,-400.72700000453824,True,1.24907e-07,ok
0.3,7,254.84399994359842,-420.48700000958536,True,9.38755e-08,ok
0.3,8,265.7219998745018,-434.12200003488755,True,2.14346e-07,ok
0.3,9,280.62600001728146,-441.8409999933434,True,2.95179e-08,ok
0.3,10,299.195,-443.506,True,9.42172e-09,ok
0.3,11,321.322,-438.705,True,2.54608e-09,ok
0.3,12,347.1,-426.862,True,3.72586e-11,ok
0.3,13,376.744,-407.321,True,1.13062e-09,ok
0.3,14,410.475,-379.381,True,6.58216e-11,ok
0.3,15,448.402,-342.275,True,1.96114e-11,ok
0.4,1,364.673,-127.655,True,1.65146e-09,ok
0.4,2,273.7139998983962,-196.3809998983962,True,8.90214e-08,ok
0.4,3,237.44200015631245,-245.379000064074,True,1.69509e-07,ok
0.4,4,220.23300005380185,-282.7410000179339,True,7.38883e-08,ok
0.4,5,212.90000008596004,-311.8690000194434,True,1.35951e-07,ok
0.4,6,211.853000108126,-334.34600000954055,True,1.83803e-07,ok
0.4,7,215.421,-351.0,True,8.46281e-09,ok
0.4,8,222.71599998009427,-362.2620000032635,True,3.79917e-08,ok
0.4,9,233.2180000061934,-368.2739999981506,True,1.18715e-08,ok
0.4,10,246.616,-368.927,True,1.70818e-09,ok
0.4,11,262.751,-363.902,True,6.80315e-10,ok
0.4,12,281.585,-352.727,True,4.56448e-10,ok
0.4,13,303.144,-334.849,True,7.41544e-12,ok
0.4,14,327.45,-309.695,True,2.49568e-13,ok
0.4,15,354.419,-276.732,True,3.32116e-13,ok
0.5,1,315.663,-107.483,True,6.05325e-10,ok
0.5,2,241.04499997552577,-167.13899998822944,True,1.65003e-08,ok
0.5,3,210.14699991112755,-209.77899995125668,True,9.48471e-08,ok
0.5,4,195.00500004755028,-242.2270000229106,True,6.48746e-08,ok
0.5,5,188.1240000296439,-267.41600001165995,True,4.78073e-08,ok
0.5,6,186.49700002480697,-286.7270000062017,True,4.40171e-08,ok
0.5,7,188.7,-300.867,True,2.84328e-09,ok
0.5,8,193.976,-310.186,True,3.43952e-09,ok
0.5,9,201.881,-314.793,True,4.67194e-09,ok
0.5,10,212.138,-314.597,True,2.55235e-10,ok
0.5,11,224.577,-309.343,True,9.42266e-11,ok
0.5,12,239.103,-298.661,True,4.7697e-11,ok
0.5,13,255.659,-282.121,True,4.83248e-12,ok
0.5,14,274.171,-259.31,True,6.41549e-13,ok
0.5,15,294.48,-229.917,True,8.02379e-13,ok
0.6,1,278.413,-92.792,True,1.16064e-11,ok
0.6,2,215.661,-145.492,True,3.24888e-09,ok
0.6,3,188.94499985764674,-183.23499990872543,True,1.43601e-07,ok
0.6,4,175.52900037556466,-211.8670002280214,True,4.98077e-07,ok
0.6,5,169.167,-233.968,True,4.77842e-09,ok
0.6,6,167.299,-250.771,True,4.84551e-09,ok
0.6,7,168.694,-262.907,True,3.08383e-09,ok
0.6,8,172.688,-270.685,True,1.89032e-09,ok
0.6,9,178.889,-274.196,True,3.89002e-10,ok
0.6,10,187.046,-273.372,True,1.91884e-10,ok
0.6,11,196.988,-268.013,True,2.81923e-12,ok
0.6,12,208.599,-257.829,True,1.23101e-11,ok
0.6,13,221.781,-242.502,True,4.33562e-13,ok
0.6,14,236.421,-221.754,True,6.82441e-13,ok
0.6,15,252.341,-195.445,True,4.6385e-13,ok
0.7,1,249.031,-81.6112,True,1.118e-09,ok
0.7,2,195.1999999352544,-128.78999996361006,True,3.71477e-08,ok
0.7,3,171.78999992069657,-162.6289999441588,True,7.49737e-08,ok
0.7,4,159.80300006914183,-188.2160000480477,True,8.68127e-08,ok
0.7,5,153.93599999122975,-207.84699999391248,True,1.38652e-08,ok
0.7,6,151.98000001167486,-222.64400000663346,True,2.12302e-08,ok
0.7,7,152.853,-233.181,True,2.41938e-09,ok
0.7,8,155.969,-239.742,True,1.81434e-09,ok
0.7,9,160.974,-242.417,True,1.84924e-10,ok
0.7,10,167.639,-241.154,True,7.34555e-11,ok
0.7,11,175.797,-235.799,True,3.47953e-11,ok
0.7,12,185.324,-226.132,True,1.7076e-12,ok
0.7,13,196.108,-211.922,True,7.79078e-14,ok
0.7,14,208.023,-192.993,True,1.00149e-12,ok
0.7,15,220.894,-169.322,True,3.73007e-13,ok
0.8,1,225.232,-72.8187,True,8.36629e-10,ok
0.8,2,178.29499969498642,-115.5059998197647,True,1.66573e-07,ok
0.8,3,157.54200015568054,-146.15700010989215,True,1.36534e-07,ok
0.8,4,146.74200003078371,-169.2580000230878,True,3.72975e-08,ok
0.8,5,141.32099998553326,-186.87999998861332,True,2.19944e-08,ok
0.8,6,139.34899997969907,-200.04999998518173,True,3.61153e-08,ok
0.8,7,139.868,-209.302,True,1.48047e-09,ok
0.8,8,142.351,-214.9,True,8.46195e-10,ok
0.8,9,146.479,-216.935,True,8.11271e-11,ok
0.8,10,152.038,-215.376,True,1.15271e-11,ok
0.8,11,158.871,-210.105,True,3.77144e-12,ok
0.8,12,166.852,-200.955,True,1.08582e-12,ok
0.8,13,175.866,-187.763,True,6.11574e-13,ok
0.8,14,185.787,-170.429,True,1.76354e-13,ok
0.8,15,196.456,-149.003,True,1.05914e-12,ok
1.0,1,189.023,-59.883,True,6.80069e-10,ok
1.0,2,151.9369994941273,-95.70539970166482,True,2.43612e-07,ok
1.0,3,135.13700011791119,-121.46300008867014,True,9.32548e-08,ok
1.0,4,126.16999988536458,-140.7639999007046,True,1.26592e-07,ok
1.0,5,121.49400003735441,-155.33400003076247,True,5.16226e-08,ok
1.0,6,119.5850000068784,-166.05600000589578,True,1.18495e-08,ok
1.0,7,119.671,-173.4,True,2.10098e-09,ok
1.0,8,121.32,-177.609,True,1.24993e-09,ok
1.0,9,124.263,-178.778,True,6.58672e-10,ok
1.0,10,128.317,-176.905,True,2.68187e-11,ok
1.0,11,133.341,-171.927,True,5.17892e-12,ok
1.0,12,139.219,-163.753,True,6.16344e-13,ok
1.0,13,145.843,-152.307,True,7.64579e-13,ok
1.0,14,153.102,-137.582,True,4.59709e-13,ok
1.0,15,160.869,-119.704,True,1.24285e-14,ok
1.2,1,162.782,-50.8313,True,1.80757e-09,ok
1.2,2,132.31500006015176,-81.66210003486628,True,2.59401e-08,ok
1.2,3,118.2800005231555,-103.846000405276,True,3.77637e-07,ok
1.2,4,110.643,-120.388,True,5.31421e-09,ok
1.2,5,106.54600006530454,-132.76600005993288,True,8.45167e-08,ok
1.2,6,104.743,-141.756,True,1.63663e-10,ok
1.2,7,104.595,-147.781,True,4.66561e-09,ok
1.2,8,105.735,-151.066,True,1.3945e-09,ok
1.2,9,107.934,-151.712,True,1.1903e-10,ok
1.2,10,111.033,-149.736,True,2.00644e-11,ok
1.2,11,114.908,-145.109,True,3.8354e-13,ok
1.2,12,119.456,-137.788,True,7.65728e-13,ok
1.2,13,124.58,-127.745,True,1.41544e-13,ok
1.2,14,130.188,-115.021,True,2.18026e-13,ok
1.2,15,136.178,-99.7651,True,4.48912e-13,ok
1.4,1,142.903,-44.1471,True,2.45956e-10,ok
1.4,2,117.1409999406971,-71.19099996560432,True,2.35951e-08,ok
1.4,3,105.12899985080882,-90.65659988624172,True,9.67318e-08,ok
1.4,4,98.49300003082683,-105.11100002753791,True,2.93078e-08,ok
1.4,5,94.8530999872838,-115.84899998749226,True,1.5539e-08,ok
1.4,6,93.16299999116292,-123.56199999137846,True,1.30223e-08,ok
1.4,7,92.8794,-128.635,True,1.32902e-09,ok
1.4,8,93.6885,-131.28,True,5.99103e-11,ok
1.4,9,95.3907,-131.598,True,2.32325e-10,ok
1.4,10,97.8457,-129.622,True,1.94517e-11,ok
1.4,11,100.945,-125.344,True,1.9078e-12,ok
1.4,12,104.595,-118.746,True,3.66912e-13,ok
1.4,13,108.715,-109.834,True,9.52169e-13,ok
1.4,14,113.223,-98.6667,True,6.16403e-13,ok
1.4,15,118.04,-85.4013,True,2.78344e-13,ok
1.6,1,127.33,-39.0113,True,3.21649e-09,ok
1.6,2,105.062999934773,-63.0872999478184,True,3.41768e-08,ok
1.6,3,94.5851,-80.4185,True,5.82133e-11,ok
1.6,4,88.72550101532667,-93.24380092158448,True,9.10897e-07,ok
1.6,5,85.45329990632422,-102.71299990513845,True,1.07426e-07,ok
1.6,6,83.8710999925484,-109.45099999295118,True,1.02656e-08,ok
1.6,7,83.5089,-113.813,True,3.59264e-10,ok
1.6,8,84.0926,-115.997,True,2.99231e-10,ok
1.6,9,85.4465,-116.105,True,8.39062e-11,ok
1.6,10,87.4462,-114.176,True,7.656e-12,ok
1.6,11,89.9948,-110.219,True,1.25729e-12,ok
1.6,12,93.0106,-104.234,True,7.53888e-13,ok
1.6,13,96.4205,-96.2401,True,3.21345e-13,ok
1.6,14,100.156,-86.3094,True,2.59742e-12,ok
1.6,15,104.154,-74.5946,True,0.0,ok
1.8,1,114.805,-34.9429,True,1.63368e-09,ok
1.8,2,95.22689993806969,-56.63229996387399,True,2.19e-08,ok
