Pr,m,Ra_c,omega_c,crossing_found,sigma_min,status
0.1,1,728.2199998284589,-263.2999999711601,True,5.75251e-08,ok
0.1,2,527.0359988753561,-350.0989998316041,True,5.44029e-07,ok
0.1,3,472.237998264595,-418.0179998183878,True,1.14152e-06,ok
0.1,4,465.2130144025765,-470.3460007667706,True,1.17735e-05,ok
0.1,5,478.31596195428165,-509.21600145179417,True,3.56492e-05,ok
0.1,6,503.65701630352453,-534.2779970690293,True,1.57622e-05,ok
0.1,7,540.8169567045421,-545.394,True,1.8865e-05,ok
0.1,8,591.1339777297962,-543.8400222702038,True,2.97009e-05,ok
0.1,9,655.792987350798,-531.3380047736711,True,9.97086e-06,ok
0.1,10,735.8109977728842,-509.1760008898283,True,1.6051e-06,ok
0.1,11,832.2869994905863,-477.88200021175714,True,3.37883e-07,ok
0.1,12,946.535999909942,-437.11300003940437,True,5.45402e-08,ok
0.1,13,1080.14,-385.482,True,4.27003e-10,ok
0.1,14,1235.0,-320.082,True,6.62031e-12,ok
0.1,15,1413.32,-235.148,True,1.15105e-12,ok
0.1,16,2306.7202617356506,-1036.899909399198,True,0.000105801,ok
0.1,17,2544.749945962314,-970.0940190022633,True,2.0624e-05,ok
0.1,18,2811.5800021816963,-892.4069991855,True,7.87475e-07,ok
0.1,19,3096.09,369.487,True,1.0148e-09,ok
0.1,20,2128.97,330.988,True,5.37962e-09,ok
0.1,21,2221.48,332.953,True,1.21697e-09,ok
0.1,22,2330.32,329.916,True,3.77631e-13,ok
0.1,23,2456.23,324.486,True,1.59819e-12,ok
0.1,24,2599.93,317.844,True,1.84013e-12,ok
0.1,25,2762.22,310.604,True,4.18392e-13,ok
0.1,30,3884.1,273.639,True,5.19573e-13,ok
0.1,35,5617.65,241.509,True,4.55311e-13,ok
0.1,40,8108.0,215.112,True,3.61222e-13,ok
0.1,45,11519.49999365854,193.4600000077046,True,1.61505e-06,ok
0.1,50,16035.3,175.524,True,1.36283e-12,ok
0.1,55,21857.2,160.486,True,1.04996e-12,ok
0.1,60,29204.9,147.732,True,1.74156e-12,ok
0.1,65,38315.5,136.799,True,2.02897e-12,ok
0.1,70,49443.2,127.336,True,2.03924e-12,ok
0.1,75,62858.7,119.073,True,3.95991e-12,ok
0.1,80,78849.3,111.802,True,9.97449e-13,ok
0.1,85,97718.4,105.358,True,2.83064e-12,ok
0.1,90,119785.99932920412,99.6096000424983,True,5.16517e-05,ok
0.1,95,145415.1465156904,94.45388298638304,True,447.427,ok
0.1,100,174873.0,89.7979,True,4.21046e-12,ok
0.1,105,208613.0,85.5795,True,1.01639e-13,ok
0.1,110,246990.0,81.7381,True,6.43239e-12,ok
0.1,115,290403.9996688122,78.22570000675138,True,1.6475e-05,ok
0.1,120,339270.5335646025,75.00200543327853,True,2.19867,ok
0.3,1,377.819,-128.011,True,2.42137e-10,ok
0.3,2,277.986,-189.261,True,7.00991e-09,ok
0.3,3,244.166,-233.368,True,4.34081e-09,ok
0.3,4,232.11099998685097,-266.11799999893026,True,1.52782e-08,ok
0.3,5,231.229,-290.505,True,8.27655e-09,ok
0.3,6,237.535,-307.914,True,4.74623e-09,ok
0.3,7,249.216,-318.766,True,6.84734e-09,ok
0.3,8,265.525,-322.886,True,1.92282e-09,ok
0.3,9,286.354,-319.811,True,6.92606e-10,ok
0.3,10,311.929,-309.006,True,1.39551e-10,ok
0.3,11,691.684,-8.26632,True,4.73674e-12,ok
0.3,12,737.302,56.7379,True,1.73116e-12,ok
0.3,13,419.449,-224.121,True,8.2779e-13,ok
0.3,14,464.923,-175.811,True,8.31097e-13,ok
0.3,15,513.129,-116.676,True,3.07e-13,ok
0.3,16,2404.36,-148.816,True,1.86326e-12,ok
0.3,17,927.693,212.309,True,5.86447e-13,ok
0.3,18,639.3829988270277,80.12959840585461,True,2.61626e-06,ok
0.3,19,671.46,125.435,True,2.36094e-12,ok
0.3,20,1092.98,239.677,True,2.04286e-12,ok
0.3,21,737.779,179.505,True,3.82892e-12,ok
0.3,22,776.0979847914255,194.3689947203582,True,3.43939e-05,ok
0.3,23,819.243,204.105,True,1.37306e-12,ok
0.3,24,2153.44,31.4832,True,1.51999e-12,ok
0.3,25,922.289,213.488,True,3.95318e-14,ok
0.3,30,1296.48,209.283,True,1.10171e-12,ok
0.3,35,1873.99,192.964,True,3.87555e-13,ok
0.3,40,2703.8,175.547,True,1.68395e-12,ok
0.3,45,3840.74,159.696,True,1.4378e-12,ok
0.3,50,5345.84,145.872,True,1.29194e-13,ok
0.3,55,7286.35,133.946,True,1.1827e-12,ok
0.3,60,9735.48,123.655,True,1.4854e-12,ok
0.3,65,12772.3,114.734,True,2.32924e-12,ok
0.3,70,16481.4,106.953,True,7.54047e-13,ok
0.3,75,20953.2,100.122,True,4.15611e-12,ok
0.3,80,26283.4,94.0866,True,1.68919e-12,ok
0.3,85,32573.1,88.7212,True,2.38959e-12,ok
0.3,90,39928.8,83.9237,True,1.38063e-12,ok
0.3,95,48462.4,79.6109,True,1.5942e-12,ok
0.3,100,58291.2,75.7145,True,3.04306e-12,ok
0.3,105,69537.9,72.178,True,3.13596e-12,ok
0.3,110,82330.2,68.9546,True,5.19634e-12,ok
0.3,115,96801.4,66.0049,True,3.63519e-12,ok
0.3,120,113090.0,63.2958,True,3.53056e-12,ok
0.5,1,272.359,-87.0817,True,9.75141e-11,ok
0.5,2,207.831,-132.722,True,7.89738e-10,ok
0.5,3,183.714,-165.323,True,5.1052e-09,ok
0.5,4,173.671,-189.337,True,2.39507e-09,ok
0.5,5,171.075,-206.922,True,2.46006e-09,ok
0.5,6,173.346,-219.077,True,9.69534e-11,ok
0.5,7,179.252,-226.162,True,8.1299e-11,ok
0.5,8,188.169,-228.134,True,1.46261e-11,ok
0.5,9,199.804,-224.699,True,1.3948e-11,ok
0.5,10,214.054,-215.44,True,1.04671e-12,ok
0.5,11,230.868,-199.924,True,6.63892e-12,ok
0.5,12,250.119,-177.787,True,3.2899e-13,ok
0.5,13,271.476,-148.868,True,3.07555e-13,ok
0.5,14,294.28,-113.471,True,1.02745e-12,ok
0.5,15,317.506,-72.8455,True,9.29732e-13,ok
0.5,16,339.961,-29.6702,True,2.80989e-13,ok
0.5,17,360.877,12.2238,True,4.1473e-14,ok
0.5,18,380.449,49.4179,True,1.08452e-12,ok
0.5,19,399.634,80.3005,True,2.46088e-13,ok
0.5,20,419.531,104.901,True,8.01747e-13,ok
0.5,21,441.03,124.006,True,4.2681e-13,ok
0.5,22,464.783,138.56,True,2.16481e-13,ok
0.5,23,491.268,149.431,True,2.32413e-13,ok
0.5,24,520.859,157.349,True,3.00647e-13,ok
0.5,25,553.861,162.915,True,2.30208e-13,ok
0.5,30,778.923,169.49,True,3.23916e-13,ok
0.5,35,1125.36,160.682,True,1.11971e-13,ok
0.5,40,1623.09,148.279,True,5.53043e-13,ok
0.5,45,2305.11,135.967,True,5.45186e-13,ok
0.5,50,3208.06,124.791,True,8.64465e-13,ok
0.5,55,4372.27,114.939,True,1.10004e-12,ok
0.5,60,5841.67,106.327,True,7.06018e-13,ok
0.5,65,7663.69,98.7982,True,1.59168e-12,ok
0.5,70,9889.14,92.195,True,1.07638e-12,ok
0.5,75,12572.2,86.3748,True,1.65659e-12,ok
0.5,80,15770.3,81.2173,True,2.32286e-12,ok
0.5,85,19544.0,76.6219,True,2.64795e-12,ok
0.5,90,23957.4,72.5059,True,1.10348e-12,ok
0.5,95,29077.6,68.8008,True,2.20065e-12,ok
0.5,100,34974.9,65.4497,True,2.60084e-12,ok
0.5,105,41722.8,62.4056,True,4.6615e-12,ok
0.5,110,49398.2,59.6289,True,6.56274e-12,ok
0.5,115,58081.0,57.0865,True,7.5188e-12,ok
0.5,120,67854.2,54.7504,True,3.35921e-12,ok
