Ek_folder,Ek,Pr_folder,Pr,Ra_folder,Ra,fd,fd_stderr,m_star,drift_path
Ek9.2e-4,0.00092,Pr0.1,0.1,Ra556_8322,556.8322,-3.0685820971992954,1.565742530982517e-11,3,/pfs/lustrep1/scratch/project_465001528/scalisim/THE/fs_RTC/Ek9.2e-4/Pr0.1/Ra556_8322/movie/movie_test/drift.json
Ek9.2e-4,0.00092,Pr0.1,0.1,Ra727_7411,727.7411,-1.2989301689697266,6.594625013589112e-15,3,/pfs/lustrep1/scratch/project_465001528/scalisim/THE/fs_RTC/Ek9.2e-4/Pr0.1/Ra727_7411/movie/movie_test/drift.json
Ek9.2e-4,0.00092,Pr0.1,0.1,Ra811_1137,811.1137,-0.008013455761008098,4.742475993790118e-16,3,/pfs/lustrep1/scratch/project_465001528/scalisim/THE/fs_RTC/Ek9.2e-4/Pr0.1/Ra811_1137/movie/movie_test/drift.json
Ek9.2e-4,0.00092,Pr0.1,0.1,Ra811_5292,811.5292,-0.0016188652430714936,5.03540343364449e-16,3,/pfs/lustrep1/scratch/project_465001528/scalisim/THE/fs_RTC/Ek9.2e-4/Pr0.1/Ra811_5292/movie/movie_test/drift.json
Ek9.2e-4,0.00092,Pr0.1,0.1,Ra811_6093,811.6093,-0.00038616226432144267,4.3129137091128556e-16,3,/pfs/lustrep1/scratch/project_465001528/scalisim/THE/fs_RTC/Ek9.2e-4/Pr0.1/Ra811_6093/movie/movie_test/drift.json
Ek9.2e-4,0.00092,Pr0.1,0.1,Ra811_6282,811.6282,-9.530187439521048e-05,4.509832132440124e-16,3,/pfs/lustrep1/scratch/project_465001528/scalisim/THE/fs_RTC/Ek9.2e-4/Pr0.1/Ra811_6282/movie/movie_test/drift.json
Ek9.2e-4,0.00092,Pr0.1,0.1,Ra811_6375,811.6375,4.78196089106742e-05,3.561708368966012e-16,3,/pfs/lustrep1/scratch/project_465001528/scalisim/THE/fs_RTC/Ek9.2e-4/Pr0.1/Ra811_6375/movie/movie_test/drift.json
Ek9.2e-4,0.00092,Pr0.1,0.1,Ra811_6467,811.6467,0.00018940195966447496,4.0641119429303436e-16,3,/pfs/lustrep1/scratch/project_465001528/scalisim/THE/fs_RTC/Ek9.2e-4/Pr0.1/Ra811_6467/movie/movie_test/drift.json
Ek9.2e-4,0.00092,Pr0.1,0.1,Ra811_6824,811.6824,0.0007388012302036818,4.1967464314027523e-16,3,/pfs/lustrep1/scratch/project_465001528/scalisim/THE/fs_RTC/Ek9.2e-4/Pr0.1/Ra811_6824/movie/movie_test/drift.json
Ek9.2e-4,0.00092,Pr0.1,0.1,Ra811_8109,811.8109,0.0027163070228987864,3.5213546142900183e-16,3,/pfs/lustrep1/scratch/project_465001528/scalisim/THE/fs_RTC/Ek9.2e-4/Pr0.1/Ra811_8109/movie/movie_test/drift.json
