Ek_folder,Ek,Pr,m_star,Ra0,Ra_c,Ra0_over_Rac,supercriticality,method,bracket_lo,bracket_hi
Ek9.2e-4,0.00092,0.1,3,811.6375,551.319,1.472174004523697,0.472174004523697,near_fd,,
Ek9.2e-4,0.00092,0.2,3,472.2459,306.509,1.540724415922534,0.5407244159225341,near_fd,,
Ek9.2e-4,0.00092,0.3,3,343.8028,220.172,1.5615191759170104,0.5615191759170103,near_fd,,
Ek9.2e-4,0.00092,0.4,3,271.892,174.016,1.5624540272158882,0.5624540272158882,near_fd,,
Ek9.2e-4,0.00092,0.5,3,225.1349,144.59,1.5570571962099728,0.5570571962099728,near_fd,,
Ek9.2e-4,0.00092,0.6,3,192.1625,123.952,1.550297695882277,0.550297695882277,near_fd,,
Ek9.2e-4,0.00092,0.8,3,148.6847,96.662,1.5381918437441806,0.5381918437441806,near_fd,,
Ek9.2e-4,0.00092,1.0,3,121.2807,79.3157,1.529088188088865,0.5290881880888649,near_fd,,
Ek9.2e-4,0.00092,2.0,3,63.1791,41.8958,1.508005575737902,0.5080055757379021,near_fd,,
Ek9.2e-4,0.00092,3.0,3,42.7276,28.4781,1.5003669486377251,0.5003669486377251,near_fd,,
Ek9.2e-4,0.00092,4.0,3,32.3119,21.5709,1.4979393534808467,0.49793935348084684,near_fd,,
Ek9.2e-4,0.00092,5.0,3,26.009,17.3603,1.4981883953618313,0.49818839536183146,near_fd,,
Ek9.2e-4,0.00092,8.0,3,16.083,10.9302,1.4714277872317065,0.4714277872317066,near_fd,,
Ek9.2e-4,0.00092,10.0,3,12.771,8.75995,1.4578850335903746,0.45788503359037447,near_fd,,
Ek9.2e-4,0.00092,20.0,3,6.5309,4.3959,1.4856798380308924,0.4856798380308924,near_fd,,
Ek9.2e-4,0.00092,40.0,3,3.4136,2.20195,1.5502622675355935,0.5502622675355935,near_fd,,
Ek9.2e-4,0.00092,80.0,3,1.7828,1.10198,1.617815205357629,0.617815205357629,near_fd,,
Ek9.2e-4,0.00092,100.0,3,1.4373,0.881743,1.6300668108507808,0.6300668108507808,near_fd,,
