Pr,m,Ra_c,omega_c,crossing_found,sigma_min,status
0.01,1,3614.215586912716,565.245,True,0.000166444,ok
0.01,2,4972.041886807609,425.576971013524,True,4.11647e-05,ok
0.01,3,6214.889747504455,329.71400414351666,True,5.84599e-06,ok
0.01,4,7832.571005591579,258.27398068678366,True,2.26491e-05,ok
0.01,5,9810.561358724486,191.51996603188783,True,3.52235e-05,ok
0.01,6,11553.800001019164,135.3269999796167,True,3.99378e-08,ok
0.01,7,13155.4,104.806,True,6.38527e-11,ok
0.01,8,15189.6,88.3894,True,1.08423e-13,ok
0.01,9,17839.5,77.7347,True,1.88683e-13,ok
0.01,10,21179.4,69.9168,True,2.45918e-13,ok
0.01,11,25274.2,63.7637,True,1.41061e-14,ok
0.01,12,30193.6,58.7128,True,1.55478e-13,ok
0.01,13,36013.9,54.4526,True,2.05744e-13,ok
0.01,14,42817.3,50.7918,True,2.05862e-13,ok
0.01,15,50691.6,47.6028,True,4.00955e-13,ok
0.03,1,2103.310004011171,-242.86999987237184,True,1.84356e-07,ok
0.03,2,2208.0,-33.8724,True,3.1845e-14,ok
0.03,3,2308.470094630272,298.9319946480503,True,5.71848e-06,ok
0.03,4,2786.2700219128005,235.57999863751354,True,1.31157e-06,ok
0.03,5,3396.3999385843426,171.5160050069793,True,4.85958e-06,ok
0.03,6,3892.06,122.647,True,7.07111e-09,ok
0.03,7,4394.95,98.0526,True,2.57511e-11,ok
0.03,8,5066.35,84.172,True,5.89939e-13,ok
0.03,9,5947.83,74.7286,True,6.78112e-14,ok
0.03,10,7060.5,67.5843,True,2.37707e-14,ok
0.03,11,8425.16,61.8508,True,1.19452e-13,ok
0.03,12,10064.8,57.0836,True,2.48717e-13,ok
0.03,13,12004.9,53.0277,True,2.92676e-13,ok
0.03,14,14272.6,49.521,True,1.27623e-13,ok
0.03,15,16897.4,46.4527,True,1.34758e-13,ok
0.05,1,1436.370513715425,-221.33797197915862,True,3.4892e-05,ok
0.05,2,1350.49,-31.3141,True,7.8247e-14,ok
0.05,3,1565.9800043395144,266.8989995584041,True,3.98232e-07,ok
0.05,4,1799.1600001624947,211.48499998025883,True,1.58707e-08,ok
0.05,5,2112.1300027500574,151.1269995873642,True,4.56931e-07,ok
0.05,6,2354.4,111.439,True,1.56027e-09,ok
0.05,7,2642.05,92.0511,True,8.18735e-12,ok
0.05,8,3041.74,80.33,True,6.71641e-14,ok
0.05,9,3569.67,71.9447,True,1.7958e-14,ok
0.05,10,4236.89,65.402,True,1.33563e-13,ok
0.05,11,5055.51,60.0492,True,3.12762e-13,ok
0.05,12,6039.22,55.5424,True,2.14062e-14,ok
0.05,13,7203.17,51.6755,True,1.01911e-13,ok
0.05,14,8563.78,48.3123,True,2.18645e-13,ok
0.05,15,10138.6,45.3568,True,0.0,ok
0.07,1,1125.82,-23.0417,True,8.10477e-14,ok
0.07,2,981.97,-29.0318,True,1.16968e-14,ok
0.07,3,1228.21,-7.51285,True,5.48312e-14,ok
0.07,4,1386.9899999098718,185.3340000169485,True,1.17253e-08,ok
0.07,5,1553.8200005419883,131.1469998776655,True,1.42622e-07,ok
0.07,6,1691.88,101.703,True,1.71697e-10,ok
