Ek_folder,Ek,Pr,m_star,Ra0,Ra_c,Ra0_over_Rac,supercriticality,method,bracket_lo,bracket_hi
Ek5.2e-4,0.00052,0.1,3,797.3458009959262,420.741,1.8950988874293835,0.8950988874293835,sign_interp,797.3424,797.3529
Ek5.2e-4,0.00052,0.2,3,531.7299337733734,256.394,2.073878225595659,1.0738782255956592,sign_interp,531.7246,531.7405
Ek5.2e-4,0.00052,0.3,3,410.15656860509677,195.542,2.0975369414504135,1.0975369414504135,sign_interp,410.153,410.1637
Ek5.2e-4,0.00052,0.4,3,337.04100933341743,160.869,2.095127149005821,1.0951271490058212,sign_interp,337.0215,337.0801
Ek5.2e-4,0.00052,4.0,3,48.313426042151875,22.4696,2.1501684961971677,1.1501684961971674,sign_interp,48.3133,48.3149
Ek5.2e-4,0.00052,8.0,3,21.8806,11.4875,1.9047312295973884,0.9047312295973885,near_fd,,
Ek5.2e-4,0.00052,8.0,3,21.8852,11.4875,1.9051316648531011,0.9051316648531011,near_fd,,
Ek5.2e-4,0.00052,8.0,3,21.8899,11.4875,1.9055408052230685,0.9055408052230685,near_fd,,
Ek5.2e-4,0.00052,10.0,3,17.3105,9.2312,1.8752166565560275,0.8752166565560277,near_fd,,
Ek5.2e-4,0.00052,20.0,3,9.514670545929215,4.65712,2.043037445015206,1.0430374450152058,sign_interp,9.5044,9.5205
