Pr,m,Ra_c,omega_c,crossing_found,sigma_min,status
0.01,1,2083.2919073908206,-756.3983395559814,True,0.028829,ok
0.01,2,1832.7299489900772,-1008.3200049434457,True,8.65616e-06,ok
0.01,3,2051.359955247335,-1084.0400046968143,True,8.18119e-06,ok
0.01,4,2428.05,0.0,True,0.0,ok
0.01,5,2893.6300069602744,-1047.7399993152799,True,1.2292e-06,ok
0.01,6,3420.139591254872,-995.4220383198558,True,6.93637e-05,ok
0.01,7,3998.6105096683987,-937.6759585894426,True,8.04305e-05,ok
0.01,8,4634.699912403148,-879.7680060353315,True,1.27108e-05,ok
0.01,9,5343.959997989843,-823.3010001224953,True,2.62184e-07,ok
0.01,10,6146.18,-767.777,True,7.88669e-09,ok
0.01,11,7062.320133345122,-711.7099927148031,True,1.35479e-05,ok
0.01,12,8113.969810647582,-653.1250101928633,True,1.7199e-05,ok
0.01,13,9324.400017723461,-589.5779989962733,True,1.41305e-06,ok
0.01,14,10720.999999783944,-517.8070000194451,True,2.08829e-08,ok
0.01,15,12142.695266569785,1557.8703681556833,True,0.000389191,ok
0.03,1,1249.43,-575.996,True,7.7412e-09,ok
0.03,2,1037.039991501082,-787.474002691324,True,3.54329e-06,ok
0.03,3,1014.0601242561997,-871.1239566509158,True,5.71122e-05,ok
0.03,4,1066.620323162495,-893.8048909715234,True,0.000157447,ok
0.03,5,1163.2900249671654,-885.3619923224092,True,1.2207e-05,ok
0.03,6,1292.1499851176536,-861.2240039230959,True,7.01381e-06,ok
0.03,7,1450.2499987667477,-829.0910002741509,True,5.3936e-07,ok
0.03,8,1638.8600009057138,-792.3989998266844,True,3.56817e-07,ok
0.03,9,1861.1499998968766,-752.3990000177112,True,3.6451e-08,ok
0.03,10,2121.2708746828043,-709.2048576652528,True,0.000274105,ok
0.03,11,2424.150048159835,-662.2329923510849,True,1.33636e-05,ok
0.03,12,2775.4899817759124,-610.3240028574994,True,4.54918e-06,ok
0.03,13,3182.0099940915416,-551.6670009551024,True,1.31765e-06,ok
0.03,14,3651.9899998227484,-483.44900003033405,True,3.53072e-08,ok
0.03,15,4196.92,-400.878,True,1.9814e-10,ok
0.05,1,1086.9900125880436,-441.3169987411957,True,8.70731e-06,ok
0.05,2,899.742,-581.27,True,4.12883e-09,ok
0.05,3,825.0960000369009,-655.9479999947284,True,4.26048e-08,ok
0.05,4,802.5699996632435,-708.2040000863477,True,3.56073e-07,ok
0.05,5,818.3389996639216,-736.3900001069679,True,3.04751e-07,ok
0.05,6,865.7740001722997,-743.8989999481008,True,1.32582e-07,ok
0.05,7,940.8380003356793,-736.2469999042987,True,2.26512e-07,ok
0.05,8,1041.480000026538,-717.7519999926417,True,1.63292e-08,ok
0.05,9,1167.3201054145302,-691.134972670307,True,5.64935e-05,ok
0.05,10,1319.2801185924748,-657.7979701774806,True,5.64337e-05,ok
0.05,11,1499.2900202352598,-618.1259949007144,True,8.66508e-06,ok
0.05,12,1710.0400020193135,-571.6549994877838,True,7.67213e-07,ok
0.05,13,1955.0399995605476,-517.0630001144631,True,1.52178e-07,ok
0.05,14,2238.73,-451.89,True,4.44046e-09,ok
0.05,15,2567.28,-371.636,True,4.3725e-11,ok
0.07,1,935.1330008355494,-348.09400016710987,True,3.81706e-07,ok
0.07,2,698.8110467303472,-440.61201154616595,True,2.17243e-05,ok
0.07,3,628.499025388921,-518.1530054153551,True,1.61968e-05,ok
0.07,4,620.858000836608,-581.515,True,6.72553e-07,ok
0.07,5,636.074,-627.464,True,4.96816e-09,ok
0.07,6,667.285,-653.547,True,3.3714e-10,ok
0.07,7,716.0191190221789,-661.6809671838851,True,0.000100774,ok
0.07,8,783.3769327044679,-655.6660168238831,True,4.74239e-05,ok
0.07,9,869.8997404713621,-638.6890819547433,True,0.000176759,ok
0.07,10,976.3269162912984,-612.7530268693004,True,5.14059e-05,ok
0.07,11,1103.8599973943337,-578.7610008513295,True,1.4455e-06,ok
0.07,12,1254.2100001465335,-536.6569999504818,True,7.26791e-08,ok
0.07,13,1429.5999996872486,-485.43800010986666,True,1.42448e-07,ok
0.07,14,1632.86,-422.9,True,9.70293e-10,ok
0.07,15,1867.8,-344.825,True,3.62513e-11,ok
0.1,1,747.549999929727,-270.943,True,1.44875e-08,ok
0.1,2,529.8249992147855,-363.5359999476524,True,3.55614e-07,ok
0.1,3,472.80000304979114,-436.00900026542377,True,1.98095e-06,ok
0.1,4,465.4409939405706,-491.12299971145575,True,4.85558e-06,ok
0.1,5,479.3880163747533,-533.0539994032209,True,1.50625e-05,ok
0.1,6,504.88301210059075,-562.5299983632051,True,1.20101e-05,ok
0.1,7,540.1248863788459,-578.7650259469681,True,0.000114276,ok
0.1,8,586.5200095666786,-582.0349968536257,True,8.85168e-06,ok
0.1,9,645.7230044197997,-573.6949984400707,True,3.73526e-06,ok
